"ADRESSE_POSTALE_TEXT","TEXT_1","IMAGE_1/_title","SITE_INTERNET_LINK","shop_name","IMAGE_1","TEXT_3","SITE_INTERNET_LINK/_text","IMAGE_1/_alt","TEXT_4"
"Le Grand Rivolet","Simply Market MONTCEAUX GUEREINS","Simply-Market","http://www.simplymarket.fr/montceaux-guereins/","Simply Market MONTCEAUX GUEREINS","http://images.grandes-enseignes.com/Simply-Market.png","01090 MONTCEAUX GUEREINS","Site Internet","Simply-Market",NA
"4 Rue Du Marche,","SPAR Montmerle Sur Saone","Spar","http://annuaire.casino-proximite.fr/c/c/magasin-4158.html","SPAR Montmerle Sur Saone","http://images.grandes-enseignes.com/Spar.png","01090 Montmerle Sur Saone","Site Internet","Spar","Tel. 04 74 06 88 04 -"
"Le Pré de la Cloche","INTERMARCHE SUPER Belleville-sur-Saone","Intermarche","http://www.intermarche.com/magasin_accueil/sas-cab-belleville-sur-saone-69220","INTERMARCHE SUPER Belleville-sur-Saone","http://images.grandes-enseignes.com/Intermarche.png","69220 Belleville-sur-Saone","Site Internet","Intermarche","Tel. 04 74 06 45 85 -"
"47 Rue De La Republique,","PETIT CASINO Belleville Sur Saone","Petit-Casino","http://annuaire.casino-proximite.fr/c/c/magasin-2953.html","PETIT CASINO Belleville Sur Saone","http://images.grandes-enseignes.com/Petit-Casino.png","69220 Belleville Sur Saone","Site Internet","Petit-Casino","Tel. 04 74 66 10 34 -"
"AVENUE DE VERDUN","Carrefour Market BELLEVILLE SUR SAONE","Carrefour-Market","http://www.carrefour.fr/magasin/market-belleville-sur-saone","Carrefour Market BELLEVILLE SUR SAONE","http://images.grandes-enseignes.com/Carrefour-Market.png","69220 BELLEVILLE SUR SAONE","Site Internet","Carrefour-Market","Tel. 04 74 06 44 10 -"
"Le Bourg,","VIVAL Chaleins","Vival","http://annuaire.casino-proximite.fr/c/c/magasin-1257.html","VIVAL Chaleins","http://images.grandes-enseignes.com/Vival.png","01480 Chaleins","Site Internet","Vival","Tel. 04 74 67 95 09 -"
"Avenue De lEurope 272","Lidl Saint Jean DArdieres","Lidl","http://www.lidl.fr/","Lidl Saint Jean DArdieres","http://images.grandes-enseignes.com/Lidl.png","69220 Saint Jean DArdieres","Site Internet","Lidl",NA
"rue de l'industrie  les Vernailles","E.Leclerc SAINT GEORGES DE RENEINS","Leclerc","http://www.e-leclerc.com/magasin/st-georges-de-reneins","E.Leclerc SAINT GEORGES DE RENEINS","http://images.grandes-enseignes.com/Leclerc.png","69830 SAINT GEORGES DE RENEINS","Site Internet","Leclerc","Tel. 04 74 02 70 00 -"
"5 Carrefour Du Centre,","VIVAL St Etienne / Chalaronne","Vival","http://annuaire.casino-proximite.fr/c/c/magasin-1270.html","VIVAL St Etienne / Chalaronne","http://images.grandes-enseignes.com/Vival.png","01140 St Etienne / Chalaronne","Site Internet","Vival","Tel. 04 74 14 81 92 -"
"2 Place Du College Royal,","PETIT CASINO Thoissey","Petit-Casino","http://annuaire.casino-proximite.fr/c/c/magasin-577.html","PETIT CASINO Thoissey","http://images.grandes-enseignes.com/Petit-Casino.png","01140 Thoissey","Site Internet","Petit-Casino","Tel. 04 74 04 02 30 -"
"ZAC du Garet","Géant Villefranche sur Saône","Geant-Casino","http://www.geantcasino.fr/pages/magasins/magasin-geant-casino-villefranche-sur-saone-CG879.aspx","Géant Villefranche sur Saône","http://images.grandes-enseignes.com/Geant-Casino.png","69400 Villefranche sur Saône","Site Internet","Geant-Casino","Tel. 04 74 65 64 00 -"
"ZAC du Garet Boulevard Burdeau","Casino Drive Villefranche sur Saône","Casino-Drive","http://www.casinodrive.fr/ecommerce/GC-catalog/fr/WE69879/","Casino Drive Villefranche sur Saône","http://images.grandes-enseignes.com/Casino-Drive.png","69400 Villefranche sur Saône","Site Internet","Casino-Drive","Service: Drive"
"Le Bourg Pl De La Poste,","VIVAL Lancie","Vival","http://annuaire.casino-proximite.fr/c/c/magasin-1253.html","VIVAL Lancie","http://images.grandes-enseignes.com/Vival.png","69220 Lancie","Site Internet","Vival","Tel. 04 74 69 85 12 -"
"Rue De La Mairie,","PETIT CASINO Amberieux En Dombes","Petit-Casino","http://annuaire.casino-proximite.fr/c/c/magasin-539.html","PETIT CASINO Amberieux En Dombes","http://images.grandes-enseignes.com/Petit-Casino.png","01330 Amberieux En Dombes","Site Internet","Petit-Casino","Tel. 04 74 08 14 31 -"
"26 Place Beaudelaire,","PETIT CASINO Villie Morgon","Petit-Casino","http://annuaire.casino-proximite.fr/c/c/magasin-4257.html","PETIT CASINO Villie Morgon","http://images.grandes-enseignes.com/Petit-Casino.png","69910 Villie Morgon","Site Internet","Petit-Casino","Tel. 04 74 04 20 46 -"
"Rue Edouard Herriot","Carrefour Market JASSANS RIOTTIER","Carrefour-Market","http://www.carrefour.fr/magasin/market-jassans-riottier","Carrefour Market JASSANS RIOTTIER","http://images.grandes-enseignes.com/Carrefour-Market.png","01480 JASSANS RIOTTIER","Site Internet","Carrefour-Market","Tel. 04 74 60 70 12 -"
"LA SAUVAGERIE-1525 ROUTE FRANS","Leader Price VILLEFRANCHE SUR SAONE","Leader-Price","http://www.leaderprice.fr/fiche-magasin?id=7775&ville=villefranche-sur-saone&cp=69400","Leader Price VILLEFRANCHE SUR SAONE","http://images.grandes-enseignes.com/Leader-Price.png","69400 VILLEFRANCHE SUR SAONE","Site Internet","Leader-Price","Tel. 04 74 65 39 11 -"
"318/326 rue Nationale","Monoprix VILLEFRANCHE","Monoprix","http://www.monoprix.fr/trouver-mon-magasin/monoprix-villefranche-villefranche-sur-saone-414.html","Monoprix VILLEFRANCHE","http://images.grandes-enseignes.com/Monoprix.png","69400 VILLEFRANCHE sur SAONE","Site Internet","Monoprix","Tel. 04 74 65 31 12 -"
"106 Rue Paul Bert,","PETIT CASINO Villefranche Sur Saone","Petit-Casino","http://annuaire.casino-proximite.fr/c/c/magasin-3092.html","PETIT CASINO Villefranche Sur Saone","http://images.grandes-enseignes.com/Petit-Casino.png","69400 Villefranche Sur Saone","Site Internet","Petit-Casino","Tel. 04 74 02 14 01 -"
"477 rue Jules Ferry","INTERMARCHE SUPER Villefranche sur Saône","Intermarche","http://www.intermarche.com/magasin_accueil/sa-villefranche-sables-villefranche-sur-saone-69400","INTERMARCHE SUPER Villefranche sur Saône","http://images.grandes-enseignes.com/Intermarche.png","69400 Villefranche sur Saône","Site Internet","Intermarche","Tel. 04 74 68 21 63 -"
"169 Rue Stalingrad","Carrefour Market Villefranche sur Saone","Carrefour-Market","http://www.carrefour.fr/magasin/market-villefranche-sur-saone","Carrefour Market Villefranche sur Saone","http://images.grandes-enseignes.com/Carrefour-Market.png","69400 VILLEFRANCHE SUR SAONE","Site Internet","Carrefour-Market","Tel. 04 74 09 87 80 -"
"Rue Théodore Braun 733","Lidl Villefranche Sur Saone","Lidl","http://www.lidl.fr/","Lidl Villefranche Sur Saone","http://images.grandes-enseignes.com/Lidl.png","69400 Villefranche Sur Saone","Site Internet","Lidl",NA
"14 Place Carnot,","PETIT CASINO Villefranche Sur Saone","Petit-Casino","http://annuaire.casino-proximite.fr/c/c/magasin-3091.html","PETIT CASINO Villefranche Sur Saone","http://images.grandes-enseignes.com/Petit-Casino.png","69400 Villefranche Sur Saone","Site Internet","Petit-Casino","Tel. 04 74 60 48 28 -"
"420 rue Philippe Heron","Simply Market VILLEFRANCHE SUR SAONE","Simply-Market","http://www.simplymarket.fr/villefranche-sur-saone/","Simply Market VILLEFRANCHE SUR SAONE","http://images.grandes-enseignes.com/Simply-Market.png","69400 VILLEFRANCHE SUR SAONE","Site Internet","Simply-Market",NA
"311 Rue D Anse,","PETIT CASINO Villefranche Sur Saone","Petit-Casino","http://annuaire.casino-proximite.fr/c/c/magasin-3093.html","PETIT CASINO Villefranche Sur Saone","http://images.grandes-enseignes.com/Petit-Casino.png","69400 Villefranche Sur Saone","Site Internet","Petit-Casino","Tel. 04 74 65 27 94 -"
"630 Rue Jm.savigny,","SPAR Villefranche / Saone","Spar","http://annuaire.casino-proximite.fr/c/c/magasin-3795.html","SPAR Villefranche / Saone","http://images.grandes-enseignes.com/Spar.png","69400 Villefranche / Saone","Site Internet","Spar","Tel. 04 74 68 06 19 -"
"RUE DE TARARE","E.Leclerc GLEIZE","Leclerc","http://www.e-leclerc.com/magasin/gleize","E.Leclerc GLEIZE","http://images.grandes-enseignes.com/Leclerc.png","69400 GLEIZE","Site Internet","Leclerc","Tel. 04 74 02 24 24 -"
"71 Avenue Roger Salengro,","PETIT CASINO Amberieu En Bugey","Petit-Casino","http://annuaire.casino-proximite.fr/c/c/magasin-552.html","PETIT CASINO Amberieu En Bugey","http://images.grandes-enseignes.com/Petit-Casino.png","01500 Amberieu En Bugey","Site Internet","Petit-Casino","Tel. 04 74 34 02 07 -"
"Avenue Leon Blum","Lidl Amberieu En Bugey","Lidl","http://www.lidl.fr/","Lidl Amberieu En Bugey","http://images.grandes-enseignes.com/Lidl.png","01500 Amberieu En Bugey","Site Internet","Lidl",NA
"78 Avenue Du General Sarrail,","SPAR Amberieu En Bugey","Spar","http://annuaire.casino-proximite.fr/c/c/magasin-3838.html","SPAR Amberieu En Bugey","http://images.grandes-enseignes.com/Spar.png","01500 Amberieu En Bugey","Site Internet","Spar","Tel. 04 74 38 10 34 -"
"Centre commercial de l'aviation Les terreaux","INTERMARCHE HYPER Amberieu en Bugey","Intermarche","http://www.intermarche.com/magasin_accueil/sas-jean-paris-amberieu-en-bugey-01500","INTERMARCHE HYPER Amberieu en Bugey","http://images.grandes-enseignes.com/Intermarche.png","01500 Amberieu en Bugey","Site Internet","Intermarche","Tel. 04 74 46 15 00 -"
"C.C. DU BUGEY - 25 Rue Alexandre Bérard","Carrefour Market AMBERIEU EN BUGEY","Carrefour-Market","http://www.carrefour.fr/magasin/market-amberieu-en-bugey","Carrefour Market AMBERIEU EN BUGEY","http://images.grandes-enseignes.com/Carrefour-Market.png","01500 AMBERIEU EN BUGEY","Site Internet","Carrefour-Market","Tel. 04 74 38 50 19 -"
"8 RUE DE L'INDUSTRIE","Carrefour Market LAGNIEU","Carrefour-Market","http://www.carrefour.fr/magasin/market-lagnieu","Carrefour Market LAGNIEU","http://images.grandes-enseignes.com/Carrefour-Market.png","01150 LAGNIEU","Site Internet","Carrefour-Market","Tel. 04 74 35 70 21 -"
"132 avenue de l'Europe Immeuble Le Mont Blanc","INTERMARCHE CONTACT Saint-Rambert-en-Bugey","Intermarche","http://www.intermarche.com/magasin_accueil/sa-gaia-saint-rambert-en-bugey-01230","INTERMARCHE CONTACT Saint-Rambert-en-Bugey","http://images.grandes-enseignes.com/Intermarche.png","01230 Saint-Rambert-en-Bugey","Site Internet","Intermarche","Tel. 04 74 37 41 82 -"
"Route Du Port","Lidl Lagnieu","Lidl","http://www.lidl.fr/","Lidl Lagnieu","http://images.grandes-enseignes.com/Lidl.png","01150 Lagnieu","Site Internet","Lidl",NA
"84 Rue Du Docteur Temporal,","PETIT CASINO St Rambert En Bugey","Petit-Casino","http://annuaire.casino-proximite.fr/c/c/magasin-553.html","PETIT CASINO St Rambert En Bugey","http://images.grandes-enseignes.com/Petit-Casino.png","01230 St Rambert En Bugey","Site Internet","Petit-Casino","Tel. 04 74 36 20 98 -"
"Grande Rue De La Cotiere,","VIVAL Priay","Vival","http://annuaire.casino-proximite.fr/c/c/magasin-1139.html","VIVAL Priay","http://images.grandes-enseignes.com/Vival.png","01160 Priay","Site Internet","Vival","Tel. 04 74 35 40 64 -"
"302 Av Charles De Gaulle,","VIVAL Villieu - Loyes - Mollon","Vival","http://annuaire.casino-proximite.fr/c/c/magasin-1164.html","VIVAL Villieu - Loyes - Mollon","http://images.grandes-enseignes.com/Vival.png","01800 Villieu - Loyes - Mollon","Site Internet","Vival","Tel. 04 74 46 00 61 -"
"Place Du Marche,","VIVAL Jujurieux","Vival","http://annuaire.casino-proximite.fr/c/c/magasin-1156.html","VIVAL Jujurieux","http://images.grandes-enseignes.com/Vival.png","01640 Jujurieux","Site Internet","Vival","Tel. 04 74 36 83 98 -"
