"ADRESSE_POSTALE_TEXT","TEXT_1","IMAGE_1/_title","SITE_INTERNET_LINK","shop_name","IMAGE_1","TEXT_3","SITE_INTERNET_LINK/_text","IMAGE_1/_alt","TEXT_4"
"Grande Rue,","VIVAL Miserieux","Vival","http://annuaire.casino-proximite.fr/c/c/magasin-1267.html","VIVAL Miserieux","http://images.grandes-enseignes.com/Vival.png","01600 Miserieux","Site Internet","Vival","Tel. 04 74 00 52 58 -"
"Allee Des Lauriers,","VIVAL St Marcel En Dombes","Vival","http://annuaire.casino-proximite.fr/c/c/magasin-1166.html","VIVAL St Marcel En Dombes","http://images.grandes-enseignes.com/Vival.png","01390 St Marcel En Dombes","Site Internet","Vival","Tel. 04 72 08 58 05 -"
"1 Place De La Liberation,","SPAR Le Bois D'oingt","Spar","http://annuaire.casino-proximite.fr/c/c/magasin-156.html","SPAR Le Bois D'oingt","http://images.grandes-enseignes.com/Spar.png","69620 Le Bois D'oingt","Site Internet","Spar","Tel. 04 74 71 61 49 -"
"42 Av Baraduc,","PETIT CASINO Chatelguyon","Petit-Casino","http://annuaire.casino-proximite.fr/c/c/magasin-3109.html","PETIT CASINO Chatelguyon","http://images.grandes-enseignes.com/Petit-Casino.png","63140 Chatelguyon","Site Internet","Petit-Casino","Tel. 04 73 86 00 25 -"
"70 Allée des Marronniers","Carrefour Market SAINT ANDRE DE CORCY","Carrefour-Market","http://www.carrefour.fr/magasin/market-saint-andre-de-corcy","Carrefour Market SAINT ANDRE DE CORCY","http://images.grandes-enseignes.com/Carrefour-Market.png","01390 SAINT ANDRE DE CORCY","Site Internet","Carrefour-Market","Tel. 04 72 26 17 13 -"
"Rue De La Place,","VIVAL Reyrieux","Vival","http://annuaire.casino-proximite.fr/c/c/magasin-1248.html","VIVAL Reyrieux","http://images.grandes-enseignes.com/Vival.png","01600 Reyrieux","Site Internet","Vival","Tel. 04 74 08 87 29 -"
"106 Rue Du Commerce,","VIVAL Villars Les Dombes","Vival","http://annuaire.casino-proximite.fr/c/c/magasin-1169.html","VIVAL Villars Les Dombes","http://images.grandes-enseignes.com/Vival.png","01330 Villars Les Dombes","Site Internet","Vival","Tel. 04 74 98 02 88 -"
"12 Rue Du Palais,","PETIT CASINO Trevoux","Petit-Casino","http://annuaire.casino-proximite.fr/c/c/magasin-3084.html","PETIT CASINO Trevoux","http://images.grandes-enseignes.com/Petit-Casino.png","01600 Trevoux","Site Internet","Petit-Casino","Tel. 04 74 00 07 72 -"
"Au Combard - 324 route de Lyon","Carrefour Market TREVOUX","Carrefour-Market","http://www.carrefour.fr/magasin/market-trevoux","Carrefour Market TREVOUX","http://images.grandes-enseignes.com/Carrefour-Market.png","01600 TRÉVOUX","Site Internet","Carrefour-Market","Tel. 04 74 00 16 24 -"
"Rue Principale,","VIVAL St Benoit","Vival","http://annuaire.casino-proximite.fr/c/c/magasin-1159.html","VIVAL St Benoit","http://images.grandes-enseignes.com/Vival.png","01300 St Benoit","Site Internet","Vival","Tel. 04 74 39 75 23 -"
"1 rue de Mante","Simply Market BELLEY","Simply-Market","http://www.simplymarket.fr/belley/","Simply Market BELLEY","http://images.grandes-enseignes.com/Simply-Market.png","01300 BELLEY","Site Internet","Simply-Market",NA
"ZAC de l'Ousson","Carrefour Market BELLEY L'OUSSON","Carrefour-Market","http://www.carrefour.fr/magasin/market-belley-l-ousson","Carrefour Market BELLEY L'OUSSON","http://images.grandes-enseignes.com/Carrefour-Market.png","01300 BELLEY","Site Internet","Carrefour-Market","Tel. 04 79 81 30 95 -"
"90grande Rue,","VIVAL Belley","Vival","http://annuaire.casino-proximite.fr/c/c/magasin-3859.html","VIVAL Belley","http://images.grandes-enseignes.com/Vival.png","01300 Belley","Site Internet","Vival",NA
"ZAC de l'Ousson - Lieu dit Le commun","Leader Price BELLEY","Leader-Price","http://www.leaderprice.fr/fiche-magasin?id=7762&ville=belley&cp=01300","Leader Price BELLEY","http://images.grandes-enseignes.com/Leader-Price.png","01300 BELLEY","Site Internet","Leader-Price","Tel. 04 79 81 10 07 -"
"RN 504 ZI de Penaye","INTERMARCHE SUPER Chazey-Bons","Intermarche","http://www.intermarche.com/magasin_accueil/sa-somag-chazey-bons-01300","INTERMARCHE SUPER Chazey-Bons","http://images.grandes-enseignes.com/Intermarche.png","01300 Chazey-Bons","Site Internet","Intermarche","Tel. 04 79 81 56 99 -"
"Place Des Halles,","PETIT CASINO Morestel","Petit-Casino","http://annuaire.casino-proximite.fr/c/c/magasin-2944.html","PETIT CASINO Morestel","http://images.grandes-enseignes.com/Petit-Casino.png","38510 Morestel","Site Internet","Petit-Casino","Tel. 04 74 80 14 78 -"
"Lieu dit Bon Vézeronce","Casino VEZERONCE","Casino","http://www.supercasino.fr/-vezeronce-.html","Casino VEZERONCE","http://images.grandes-enseignes.com/Casino.png","38510 VEZERONCE","Site Internet","Casino",NA
"1 Rue 1er Septembre 1944","Super U","Magasins-U","http://www.magasins-u.com/portailu/national/pg_d_sysu_le_groupe_sig_nat","Super U","http://images.grandes-enseignes.com/Magasins-U.png","01160 Pont D'Ain","Site Internet","Magasins-U","Tel. 04 74 39 11 97 -"
"547 rue du Docteur Hubert","INTERMARCHE CONTACT Neuville-sur-Ain","Intermarche","http://www.intermarche.com/magasin_accueil/sas-naiade-neuville-sur-ain-01160","INTERMARCHE CONTACT Neuville-sur-Ain","http://images.grandes-enseignes.com/Intermarche.png","01160 Neuville-sur-Ain","Site Internet","Intermarche","Tel. 04 74 37 73 28 -"
"2 Avenue Du Chateau,","PETIT CASINO Poncin","Petit-Casino","http://annuaire.casino-proximite.fr/c/c/magasin-545.html","PETIT CASINO Poncin","http://images.grandes-enseignes.com/Petit-Casino.png","01450 Poncin","Site Internet","Petit-Casino","Tel. 04 74 37 20 69 -"
"Grande Rue,","VIVAL Sault Brenaz","Vival","http://annuaire.casino-proximite.fr/c/c/magasin-1144.html","VIVAL Sault Brenaz","http://images.grandes-enseignes.com/Vival.png","01790 Sault Brenaz","Site Internet","Vival","Tel. 04 74 36 60 77 -"
"Place De La Mairie,","PETIT CASINO Villebois","Petit-Casino","http://annuaire.casino-proximite.fr/c/c/magasin-567.html","PETIT CASINO Villebois","http://images.grandes-enseignes.com/Petit-Casino.png","01150 Villebois","Site Internet","Petit-Casino","Tel. 04 74 36 62 78 -"
"Departementale 65,","VIVAL St Jean De Niost","Vival","http://annuaire.casino-proximite.fr/c/c/magasin-1258.html","VIVAL St Jean De Niost","http://images.grandes-enseignes.com/Vival.png","01800 St Jean De Niost","Site Internet","Vival","Tel. 04 74 61 61 49 -"
"Place Du Monument Au Morts,","PETIT CASINO Virieu Le Grand","Petit-Casino","http://annuaire.casino-proximite.fr/c/c/magasin-4212.html","PETIT CASINO Virieu Le Grand","http://images.grandes-enseignes.com/Petit-Casino.png","01510 Virieu Le Grand","Site Internet","Petit-Casino","Tel. 04 79 87 80 84 -"
"Place Louis Mathieu,","VIVAL Culoz","Vival","http://annuaire.casino-proximite.fr/c/c/magasin-10835.html","VIVAL Culoz","http://images.grandes-enseignes.com/Vival.png","01350 Culoz","Site Internet","Vival",NA
"Le Chef Lieu,","VIVAL Serrieres En Chautagne","Vival","http://annuaire.casino-proximite.fr/c/c/magasin-3419.html","VIVAL Serrieres En Chautagne","http://images.grandes-enseignes.com/Vival.png","73310 Serrieres En Chautagne","Site Internet","Vival","Tel. 04 79 63 72 36 -"
"28 Route de Genève","Carrefour Market SEYSSEL","Carrefour-Market","http://www.carrefour.fr/magasin/market-seyssel","Carrefour Market SEYSSEL","http://images.grandes-enseignes.com/Carrefour-Market.png","74910 SEYSSEL","Site Internet","Carrefour-Market","Tel. 04 50 59 01 84 -"
"Route Principale Gignez,","VIVAL Corbonod","Vival","http://annuaire.casino-proximite.fr/c/c/magasin-1136.html","VIVAL Corbonod","http://images.grandes-enseignes.com/Vival.png","01420 Corbonod","Site Internet","Vival","Tel. 04 50 56 19 50 -"
"Avenue Jean Falconnier","Carrefour Market CULOZ","Carrefour-Market","http://www.carrefour.fr/magasin/market-culoz","Carrefour Market CULOZ","http://images.grandes-enseignes.com/Carrefour-Market.png","01350 CULOZ","Site Internet","Carrefour-Market","Tel. 04 79 87 05 86 -"
"Le Bourg,","VIVAL Champagne En Valromey","Vival","http://annuaire.casino-proximite.fr/c/c/magasin-1130.html","VIVAL Champagne En Valromey","http://images.grandes-enseignes.com/Vival.png","01260 Champagne En Valromey","Site Internet","Vival","Tel. 04 79 87 64 30 -"
"Avenue Franklin Roosevelt","INTERMARCHE Rumilly","Intermarche","http://www.intermarche.com/magasin_accueil/sas-sedavi-rumilly-74150","INTERMARCHE Rumilly","http://images.grandes-enseignes.com/Intermarche.png","74150 Rumilly","Site Internet","Intermarche","Tel. 04 50 64 57 91 -"
"53 rue Brillat Savarin","Carrefour Market OYONNAX","Carrefour-Market","http://www.carrefour.fr/magasin/market-oyonnax","Carrefour Market OYONNAX","http://images.grandes-enseignes.com/Carrefour-Market.png","01100 OYONNAX","Site Internet","Carrefour-Market","Tel. 04 74 12 01 20 -"
"795 rue du 19 mars 1962","Casino Drive Arbent","Casino-Drive","http://www.casinodrive.fr/ecommerce/GC-catalog/fr/WE01341/","Casino Drive Arbent","http://images.grandes-enseignes.com/Casino-Drive.png","01100 Arbent","Site Internet","Casino-Drive","Service: Drive"
"2/10 rue F. Ferrer","Monoprix OYONNAX","Monoprix","http://www.monoprix.fr/trouver-mon-magasin/monoprix-oyonnax-oyonnax-478.html","Monoprix OYONNAX","http://images.grandes-enseignes.com/Monoprix.png","01100 OYONNAX","Site Internet","Monoprix","Tel. 04 74 81 21 60 -"
"3 F Espace Charles De Gaulle,","PETIT CASINO Oyonnax","Petit-Casino","http://annuaire.casino-proximite.fr/c/c/magasin-563.html","PETIT CASINO Oyonnax","http://images.grandes-enseignes.com/Petit-Casino.png","01100 Oyonnax","Site Internet","Petit-Casino","Tel. 04 74 77 29 25 -"
"24 Rue Normandie Niemen,","PETIT CASINO Oyonnax","Petit-Casino","http://annuaire.casino-proximite.fr/c/c/magasin-562.html","PETIT CASINO Oyonnax","http://images.grandes-enseignes.com/Petit-Casino.png","01100 Oyonnax","Site Internet","Petit-Casino","Tel. 04 74 73 91 31 -"
"Cours Verdun,","PETIT CASINO Oyonnax","Petit-Casino","http://annuaire.casino-proximite.fr/c/c/magasin-555.html","PETIT CASINO Oyonnax","http://images.grandes-enseignes.com/Petit-Casino.png","01100 Oyonnax","Site Internet","Petit-Casino","Tel. 04 74 73 89 05 -"
"74 rue Jules Michelet","INTERMARCHE SUPER Oyonnax","Intermarche","http://www.intermarche.com/magasin_accueil/sas-db-oyonnax-oyonnax-01100","INTERMARCHE SUPER Oyonnax","http://images.grandes-enseignes.com/Intermarche.png","01100 Oyonnax","Site Internet","Intermarche","Tel. 04 74 12 08 50 -"
"Cours De Verdun 68-70","Lidl Oyonnax","Lidl","http://www.lidl.fr/","Lidl Oyonnax","http://images.grandes-enseignes.com/Lidl.png","01100 Oyonnax","Site Internet","Lidl",NA
"68 Rue du Jura","Carrefour Market Montréal la Cluse","Carrefour-Market","http://www.carrefour.fr/magasin/market-montreal-la-cluse","Carrefour Market Montréal la Cluse","http://images.grandes-enseignes.com/Carrefour-Market.png","01460 MONTREAL LA CLUSE","Site Internet","Carrefour-Market","Tel. 04 74 76 26 43 -"
"4 Rue Paul Painleve,","PETIT CASINO Nantua","Petit-Casino","http://annuaire.casino-proximite.fr/c/c/magasin-564.html","PETIT CASINO Nantua","http://images.grandes-enseignes.com/Petit-Casino.png","01130 Nantua","Site Internet","Petit-Casino","Tel. 04 74 75 02 60 -"
"Avenue Des Marronniers","Lidl Nantua","Lidl","http://www.lidl.fr/","Lidl Nantua","http://images.grandes-enseignes.com/Lidl.png","01130 Nantua","Site Internet","Lidl",NA
"Rue de l'industrie Place de la Madeleine","INTERMARCHE Port","Intermarche","http://www.intermarche.com/magasin_accueil/sas-sagil-port-01460","INTERMARCHE Port","http://images.grandes-enseignes.com/Intermarche.png","01460 Port","Site Internet","Intermarche","Tel. 04 74 76 18 44 -"
"795 rue du 19 mars 1962","Géant Oyonnax / Arbent","Geant-Casino","http://www.geantcasino.fr/pages/magasins/magasin-geant-casino-oyonnax-arbent-CG341.aspx","Géant Oyonnax / Arbent","http://images.grandes-enseignes.com/Geant-Casino.png","01100 Arbent","Site Internet","Geant-Casino","Tel. 04 74 81 24 00 -"
"Allée des Fleurs - Route St Claude","Leader Price ARBENT","Leader-Price","http://www.leaderprice.fr/fiche-magasin?id=7643&ville=arbent&cp=01100","Leader Price ARBENT","http://images.grandes-enseignes.com/Leader-Price.png","01100 ARBENT","Site Internet","Leader-Price","Tel. 04 74 76 03 65 -"
"6 grande rue","Carrefour Carrefour Express Thoirette","Carrefour-Express","http://www.carrefour.fr/magasin/express-thoirette","Carrefour Carrefour Express Thoirette","http://images.grandes-enseignes.com/Carrefour-Express.png","39240 Thoirette","Site Internet","Carrefour-Express","Tel. 04 74 76 82 66 -"
"C.C. Le Crêt Rue Massonod","Carrefour Market Hauteville Lompnes","Carrefour-Market","http://www.carrefour.fr/magasin/market-hauteville-lompnes","Carrefour Market Hauteville Lompnes","http://images.grandes-enseignes.com/Carrefour-Market.png","01110 HAUTEVILLE LOMPNES","Site Internet","Carrefour-Market","Tel. 04 74 35 31 14 -"
"Place Du Pont,","PETIT CASINO Tenay","Petit-Casino","http://annuaire.casino-proximite.fr/c/c/magasin-554.html","PETIT CASINO Tenay","http://images.grandes-enseignes.com/Petit-Casino.png","01230 Tenay","Site Internet","Petit-Casino","Tel. 04 74 36 40 21 -"
"Le Bourg,","VIVAL Cormaranche En Bugey","Vival","http://annuaire.casino-proximite.fr/c/c/magasin-1148.html","VIVAL Cormaranche En Bugey","http://images.grandes-enseignes.com/Vival.png","01110 Cormaranche En Bugey","Site Internet","Vival","Tel. 04 74 35 14 95 -"
"ZAC sous la Combe","INTERMARCHE CONTACT Lavancia-Epercy","Intermarche","http://www.intermarche.com/magasin_accueil/sas-benale-lavancia-epercy-01590","INTERMARCHE CONTACT Lavancia-Epercy","http://images.grandes-enseignes.com/Intermarche.png","01590 Lavancia-Epercy","Site Internet","Intermarche","Tel. 04 74 75 28 37 -"
"Rue Cret du Bief","Atac LAVANS LES SAINT CLAUDE","Atac","http://www.schiever.com/?page_id=74&id=162","Atac LAVANS LES SAINT CLAUDE","http://images.grandes-enseignes.com/Atac.png","39170 LAVANS LES SAINT CLAUDE","Site Internet","Atac","Tel. 03 84 42 05 85 -"
"615 route de Chambery","Carrefour Market YENNE","Carrefour-Market","http://www.carrefour.fr/magasin/market-yenne","Carrefour Market YENNE","http://images.grandes-enseignes.com/Carrefour-Market.png","73170 YENNE","Site Internet","Carrefour-Market","Tel. 04 79 36 75 61 -"
"Parc d'Activités Economiques de Pont de Vaux Est-Zone de L'Etang - Route de St Trivier","Atac SAINT BENIGNE","Atac","http://www.schiever.com/?page_id=74&id=161","Atac SAINT BENIGNE","http://images.grandes-enseignes.com/Atac.png","01190 SAINT BENIGNE","Site Internet","Atac","Tel. 03 85 23 91 20 -"
"2 Rue du Moulin","Carrefour Contact PONT DE VAUX","Carrefour-Contact","http://www.carrefour.fr/magasin/contact-pont-de-vaux","Carrefour Contact PONT DE VAUX","http://images.grandes-enseignes.com/Carrefour-Contact.png","01190 PONT DE VAUX","Site Internet","Carrefour-Contact","Tel. 03 85 30 94 79 -"
"Champ Bressan","Carrefour Contact Romenay","Carrefour-Contact","http://www.carrefour.fr/magasin/contact-romenay","Carrefour Contact Romenay","http://images.grandes-enseignes.com/Carrefour-Contact.png","71470 Romenay","Site Internet","Carrefour-Contact","Tel. 03 85 40 30 34 -"
