"","CD_U2A","LB_U2A","CD_STR","CD_DEPT","LB_DEPT","CD_REGION","LB_REGION","VILLE","DEPT","coord.lat","coord.lng"
"15","E7801","A DEFINIR",982,78,"DD DES YVELINES","11","ILE-DE-FRANCE","NON RENSEIGNE","Yvelines",NA,NA
"16","E7802","Entrepot de Velizy",982,78,"DD DES YVELINES","11","ILE-DE-FRANCE","Velizy","Yvelines",48.787899,2.190408
"17","E8201","Entrepot Montauban",87,82,"DD DU TARN-ET-GARONNE","73","MIDI-PYRENEES","Montauban","Tarn-et-Garonne",44.0221252,1.3529599
"18","E8202","Entrepot de Moissac",1021,82,"DD DU TARN-ET-GARONNE","73","MIDI-PYRENEES","Moissac","Tarn-et-Garonne",44.104852,1.08468
"19","E8801","Entrepot dept. des Vosges",3966,88,"DT DES VOSGES","41","LORRAINE","departement%20des%20Vosges","Vosges",48,7
"20","E9001","Entrepot de Belfort",95,90,"DT DU TERRITOIRE-DE-BELFORT","43","FRANCHE-COMTE","Belfort","Territoire%20de%20Belfort",47.639674,6.863849
"21","E9403","Entrepot de Limeil Brevannes",99,94,"DD DU VAL-DE-MARNE","11","ILE-DE-FRANCE","Limeil%20Brevannes","Val-de-Marne",48.7461849,2.492154
"22","E9501","Entrepot dept. Val d'Oise",100,95,"DD DU VAL-D OISE","11","ILE-DE-FRANCE","departement%20Val%20d%27Oise","Val-d%27Oise",49.0781978,1.6883074
"23","U01","DD de l'Ain",5,1,"DD DE L AIN","82","RHONE-ALPES","Ain","Ain",45.8021442,5.1892104
"24","U0101","Centre distribution de Belley",3941,1,"DD DE L AIN","82","RHONE-ALPES","Belley","Ain",45.76096,5.686346
"25","U0102","Centre distribution Villars les Dombes",3943,1,"DD DE L AIN","82","RHONE-ALPES","Villars%20les%20Dombes","Ain",46.002114,5.029107
"26","U0103","Centre distribution Montrevel en Bresse",3886,1,"DD DE L AIN","82","RHONE-ALPES","Montrevel%20en%20Bresse","Ain",46.337407,5.130528
"27","U0104","Centre distrib Chatillon sur Chalaronne",3944,1,"DD DE L AIN","82","RHONE-ALPES","Chatillon%20sur%20Chalaronne","Ain",46.118907,4.957955
"28","U0105","Centre distribution Hauteville Lompnes",3941,1,"DD DE L AIN","82","RHONE-ALPES","Hauteville%20Lompnes","Ain",45.9769859,5.6017849
"29","U0106","Centre de distribution de Bellegarde",3942,1,"DD DE L AIN","82","RHONE-ALPES","Bellegar","Ain",46.107599,5.826179
"30","U0107","Centre distribution Montmerle sur Saone",3944,1,"DD DE L AIN","82","RHONE-ALPES","Montmerle%20sur%20Saone","Ain",46.079318,4.759725
"31","U0108","FERME CD d'Artemare",3941,1,"DD DE L AIN","82","RHONE-ALPES","Artemare","Ain",45.875285,5.693363
"32","U0109","Centre de distribution Culoz",3941,1,"DD DE L AIN","82","RHONE-ALPES","Culoz","Ain",45.8476209,5.781229
"33","U0110","Centre de distribution de Thoissey",3944,1,"DD DE L AIN","82","RHONE-ALPES","Thoissey","Ain",46.17174,4.801003
"34","U0111","CD de Virieu le Grand",3941,1,"DD DE L AIN","82","RHONE-ALPES","Virieu%20le%20Grand","Ain",45.848538,5.651563
"35","U0112","Centre distribution de Vonnas",135,1,"DD DE L AIN","82","RHONE-ALPES","Vonnas","Ain",46.219615,4.99247
"36","U0113","FERMER - CD de Coligny",3886,1,"DD DE L AIN","82","RHONE-ALPES","Coligny","Ain",46.382954,5.346038
"37","U0114","Centre de distribution de Trevoux",3873,1,"DD DE L AIN","82","RHONE-ALPES","Trevoux","Ain",45.94094,4.774296
"38","U0115","Centre distribution Pont de Vaux",3733,1,"DD DE L AIN","82","RHONE-ALPES","Pont%20Vaux","Ain",46.430278,4.938149
"39","U0116","Centre distribution de Bage-la-Ville",3733,1,"DD DE L AIN","82","RHONE-ALPES","Bage-la-Ville","Ain",46.316047,4.9464119
"40","U0117","FERMER CD Prevessins-Moes",3942,1,"DD DE L AIN","82","RHONE-ALPES","Prevessins-Moes","Ain",46.2475706,5.1307681
"41","U0118","Epicerie sociale Prevessin-Moens",3942,1,"DD DE L AIN","82","RHONE-ALPES","Prevessin-Moens","Ain",46.2544962,6.0679661
"42","U0119","Centre Distribution de Bourg en Bresse",109,1,"DD DE L AIN","82","RHONE-ALPES","Bourg%20en%20Bresse","Ain",46.2051675,5.2255007
"43","U0120","Centre de distribution de Savigneux",3873,1,"DD DE L AIN","82","RHONE-ALPES","Savigneux","Ain",46.001183,4.848664
"44","U0121","Centre de distribution de Lagnieu",3943,1,"DD DE L AIN","82","RHONE-ALPES","Lagnieu","Ain",45.903996,5.3486269
"45","U0122","Centre de distribution de Meximieux",3943,1,"DD DE L AIN","82","RHONE-ALPES","Meximieux","Ain",45.9071984,5.1949736
"46","U0123","Centre de distribution de Miribel",3943,1,"DD DE L AIN","82","RHONE-ALPES","Miribel","Ain",45.824508,4.954543
"47","U0124","CD de Saint Rambert en Bugey",3943,1,"DD DE L AIN","82","RHONE-ALPES","Saint%20Rambert%20en%20Bugey","Ain",45.948588,5.4395939
"48","U02","DD de l'Aisne",6,2,"DD DE L AISNE","22","PICARDIE","Aisne","Aisne",47.32005,-2.220955
"49","U0201","Centre distribution de Villers-Cotterets",147,2,"DD DE L AISNE","22","PICARDIE","Villers-Cotterets","Aisne",49.255061,3.0908159
"50","U0202","Centre distribution de St Quentin",143,2,"DD DE L AISNE","22","PICARDIE","St%20Quentin","Aisne",49.847066,3.2874
"51","U0203","Epicerie sociale de Chateau-Thierry",136,2,"DD DE L AISNE","22","PICARDIE","Chateau-Thierry","Aisne",49.0459869,3.40262
"52","U0204","Centre de distribution de Guise",3934,2,"DD DE L AISNE","22","PICARDIE","Guise","Aisne",49.898014,3.625057
"53","U0205","Centre de distribution de Chauny",2562,2,"DD DE L AISNE","22","PICARDIE","Chauny","Aisne",49.615576,3.219421
"54","U0206","Centre de distribution de Laon",142,2,"DD DE L AISNE","22","PICARDIE","Laon","Aisne",49.564133,3.61989
"55","U0207","Centre de distribution de Soissons",144,2,"DD DE L AISNE","22","PICARDIE","Soissons","Aisne",49.376636,3.32342
"56","U0208","Centre de distribution de Tergnier",2562,2,"DD DE L AISNE","22","PICARDIE","Tergnier","Aisne",49.656252,3.291635
"57","U0209","A DEFINIR (CD)",2562,2,"DD DE L AISNE","22","PICARDIE","NON RENSEIGNE","Aisne",NA,NA
"58","U0210","Centre distribution Vervins",3934,2,"DD DE L AISNE","22","PICARDIE","Vervins","Aisne",49.834435,3.907087
"59","U0211","Distribution CAP de Saint Quentin",143,2,"DD DE L AISNE","22","PICARDIE","Saint%20Quentin","Aisne",49.847066,3.2874
"60","U0301","Centre de distribution de Vichy",155,3,"\N","\N","\N","Vichy","Allier",46.131859,3.425488
"61","U0302","Centre de distribution de Moulins",152,3,"\N","\N","\N","Moulins","Allier",46.568059,3.334417
"62","U04","DD Alpes Haute Provence",8,4,"DT DES ALPES-DE-HAUTE-PROVENCE","93","PROVENCE-ALPES-COTE-D AZUR","Alpes%20Haute%20Provence","Alpes-de-Haute-Provence",44.0902264,6.2388794
"63","U0401","Centre distribution de Digne les Bains",4002,4,"DT DES ALPES-DE-HAUTE-PROVENCE","93","PROVENCE-ALPES-COTE-D AZUR","Digne%20les%20Bains","Alpes-de-Haute-Provence",44.092193,6.235976
"64","U0402","Centre distribution de Manosque",4003,4,"DT DES ALPES-DE-HAUTE-PROVENCE","93","PROVENCE-ALPES-COTE-D AZUR","Manosque","Alpes-de-Haute-Provence",43.835744,5.790916
"65","U0403","Centre de distribution de Sisteron",3999,4,"DT DES ALPES-DE-HAUTE-PROVENCE","93","PROVENCE-ALPES-COTE-D AZUR","Sisteron","Alpes-de-Haute-Provence",44.194713,5.943191
"66","U0404","Centre de distribution du Verdon",4001,4,"DT DES ALPES-DE-HAUTE-PROVENCE","93","PROVENCE-ALPES-COTE-D AZUR","Verdon","Alpes-de-Haute-Provence",43.7945269,6.4429273
