CODE QUARTIER,DÉPARTEMENT	,COMMUNES CONCERNÉES
QP013007,13,La Gavotte - Peyret,Septèmes-les-Vallons
QP013008,13,Château Saint-Loup,Marseille 10e arrondissement
QP013009,13,La Capelette,Marseille 10e arrondissement
QP013010,13,Griffeuille,Arles
QP013011,13,Barriol,Arles
QP013012,13,Le Trébon,Arles
QP013013,13,Centre historique - Ferrages,Tarascon
QP013014,13,Jas de Bouffan,Aix-en-Provence
QP013015,13,Beisson,Aix-en-Provence
QP013016,13,Encagnane,Aix-en-Provence
QP013017,13,Corsy,Aix-en-Provence
QP013018,13,Secteur Centre,Vitrolles
QP013019,13,La Frescoule,Vitrolles
QP013020,13,Le Charrel,Aubagne
QP013021,13,Mas de Pouane,Martigues
QP013022,13,Notre Dame des Marins,Martigues
QP013023,13,Canto Perdrix,Martigues
QP013024,13,Les Aigues Douces,Port-de-Bouc
QP013025,13,Les Comtes,Port-de-Bouc
QP013026,13,Centre Ancien,Châteaurenard
QP013027,13,Centre historique,Orgon
QP013028,13,Quartier Béalet-Bessons-Mariélie,Berre-l'Etang
QP013029,13,Les Canourgues,Salon-de-Provence
QP013030,13,La Monaque,Salon-de-Provence
QP013031,13,Centre-ville,Marignane
QP013032,13,Centre-ville Canet Arnavaux Jean Jaurès,Marseille 3e arrondissement Marseille 1er arrondissement Marseille 2e arrondissement Marseille 14e arrondissement Marseille 6e arrondissement Marseille 15e arrondissement
QP013033,13,La Cravache Le Trioulet,Marseille 9e arrondissement
QP013034,13,La Cayolle,Marseille 9e arrondissement
QP013035,13,La Sauvagère,Marseille 10e arrondissement Marseille 9e arrondissement
QP013036,13,Benza,Marseille 10e arrondissement
QP013037,13,Saint-Thys,Marseille 10e arrondissement
QP013038,13,Air Bel,Marseille 11e arrondissement Marseille 12e arrondissement Marseille 10e arrondissement
QP013039,13,La Rouguière,Marseille 11e arrondissement
QP013040,13,Valbarelle Néréïdes Bosquet,Marseille 11e arrondissement
QP013041,13,Les Escourtines,La Penne-sur-Huveaune
QP013042,13,Malpassé Corot,Marseille 13e arrondissement
QP013043,13,Balustres Cerisaie,Marseille 13e arrondissement
QP013044,13,Frais Vallon Le Clos La Rose,Marseille 13e arrondissement
QP013045,13,Le Petit Séminaire,Marseille 13e arrondissement Marseille 12e arrondissement
QP013046,13,La Marie,Marseille 13e arrondissement
QP013047,13,Les Olives,Marseille 13e arrondissement
QP013048,13,La Simiane La Paternelle,Marseille 14e arrondissement
QP013049,13,Bon Secours Les Rosiers Marine Bleue Grand Saint-Barthélemy Saint-Jérôme,Marseille 14e arrondissement Marseille 13e arrondissement
QP013050,13,Le Castellas Les Micocouliers Saint-Joseph,Marseille 14e arrondissement Marseille 15e arrondissement
QP013051,13,La Castellane La Bricarde Plan d'Aou Saint-Antoine,Marseille 15e arrondissement Marseille 16e arrondissement
QP013052,13,Consolat Ruisseau Mirabeau,Marseille 15e arrondissement Marseille 16e arrondissement
QP013053,13,La Calade Campagne Lévèque,Marseille 15e arrondissement
QP013054,13,Les Aygalades,Marseille 15e arrondissement
QP013055,13,Kalliste La Granière La Solidarité,Marseille 15e arrondissement
QP013056,13,La Savine,Marseille 15e arrondissement
QP013057,13,Les Tilleuls La Maurelette,Marseille 15e arrondissement
QP013058,13,La Cabucelle,Marseille 15e arrondissement Marseille 2e arrondissement
QP013059,13,La Visitation - Bassens,Marseille 14e arrondissement Marseille 15e arrondissement
QP013060,13,Saint-André,Marseille 16e arrondissement
QP013061,13,Le Prépaou,Istres
QP013062,13,La Carraire,Miramas
QP013063,13,La Maille,Miramas
QP013064,13,La Soude Bengale,Marseille 9e arrondissement
QP013065,13,Caillols La Moularde,Marseille 12ee arrondissement
QP014001,14,Chemin Vert,Caen
QP014002,14,Grâce de Dieu,Caen Fleury-sur-Orne
QP014003,14,Guérinière,Caen Ifs
QP014004,14,Pierre Heuzé,Caen
QP014005,14,Calvaire Saint-Pierre,Caen
QP014006,14,Centre-ville,Colombelles
QP014007,14,Grande Delle - Val - Belles Portes - Grand Parc - Haute Folie,Hérouville-Saint-Clair
QP014008,14,Canteloup - Marronniers - Honfleur,Honfleur
QP014009,14,Hauteville,Lisieux
QP015001,15,Aurillac Sud,Aurillac
QP016001,16,Basseau - Grande Garenne,Angoulême
QP016002,16,Ma Campagne,Angoulême
QP016003,16,Bel Air - La Grand Font,Angoulême
QP016004,16,L'Etang Des Moines,La Couronne
QP016005,16,Champ de manœuvre,Soyaux
QP016006,16,Crouin,Cognac
QP017001,17,Mireuil,La Rochelle
QP017002,17,Villeneuve-les-Salines,La Rochelle
QP017003,17,Bellevue - Boiffiers,Saintes
QP017004,17,Centre-ville - Avant-Garde,Rochefort
QP017005,17,Le Petit Marseille,Rochefort
QP017006,17,Eco quartier l'Yeuse-La Robinière,Royan
QP017007,17,Port-Neuf,La Rochelle
QP018001,18,Bourges Nord,Bourges
QP018002,18,Val D'Auron - Bourges,Bourges
QP018003,18,Le Vernet - Saint-Amand-Montrond,Saint-Amand-Montrond
QP018004,18,Clos Du Roy - Centre-ville - Vierzon,Vierzon
QP019001,19,Rivet,Brive-la-Gaillarde
QP019002,19,Tujac,Brive-la-Gaillarde
QP019003,19,Les Chapélies,Brive-la-Gaillarde
QP021001,21,Saint-Jacques,Beaune
QP021002,21,Le Mail,Chenôve
QP021003,21,Fontaine D'Ouche,Dijon
QP021004,21,Les Grésilles,Dijon
QP021005,21,Le Bief du Moulin,Longvic
QP021006,21,Le Belvédère,Talant
QP022001,22,Ar Santé - Les Fontaines,Lannion
QP022002,22,Ker Uhel,Lannion
QP022003,22,Iroise,Ploufragan
QP022004,22,Croix Saint-Lambert - Ville Oger,Saint-Brieuc
QP022005,22,Le Plateau - Europe - Balzac,Saint-Brieuc
QP022006,22,Point Du Jour,Saint-Brieuc
QP022007,22,La Fontaine des Eaux,Dinan
QP023001,23,L'Albatros,Guéret
QP024001,24,Rive gauche,Bergerac
QP024002,24,Quartier des deux rives,Bergerac
QP024003,24,Quartier Nord,Bergerac
QP024004,24,Chamiers,Coulounieix-Chamiers
QP024005,24,La Boucle de l'Isle,Périgueux Coulounieix-Chamiers
QP025001,25,Le Grand Longs Traits,Pontarlier
QP025002,25,Grette,Besançon
QP025003,25,Orchamps - Palente,Besançon
QP025004,25,Planoise,Besançon
QP025005,25,Montrapon,Besançon
QP025006,25,Clairs Soleils,Besançon
QP025007,25,Les Champs Montants,Audincourt
QP025008,25,Champvallon,Bethoncourt
QP025009,25,Les Fougères,Grand-Charmont
QP025010,25,Chiffogne,Montbéliard
QP025011,25,Petite Hollande,Montbéliard
QP025012,25,Les Evoironnes,Sochaux
QP025013,25,Les Buis,Valentigney
QP026001,26,Centre Ancien,Romans-sur-Isère
QP026002,26,Quartiers Ouest,Montélimar
QP026003,26,Nocaze,Montélimar
QP026004,26,Centre Ancien,Montélimar
QP026005,26,Quartier Est,Romans-sur-Isère
QP026006,26,Polygone,Valence
QP026007,26,Les Hauts de Valence,Valence
QP026008,26,Valensoles,Valence
QP026009,26,Chamberlière,Valence
QP026010,26,Le Roc,Pierrelatte
QP026011,26,Cœur De Loriol,Loriol-sur-Drôme
QP026012,26,Clairval,Saint-Rambert-d'Albon
QP027001,27,Valmeux - Blanchères,Vernon
QP027002,27,Boutardes,Vernon
QP027003,27,La Madeleine,Evreux
QP027004,27,Nétreville,Evreux
QP027005,27,Navarre,Evreux
QP027006,27,Maison-Rouge,Louviers
QP027007,27,Acacias - La Londe - Les Oiseaux,Louviers
QP027008,27,Centre-ville,Val-de-Reuil
QP027009,27,Le Bourg Le Comte,Bernay
QP027010,27,L'Europe,Pont-Audemer
QP027011,27,La Passerelle,Saint-Germain-Village Pont-Audemer
QP028001,28,Les Vauvettes,Vernouillet
QP028002,28,Quartier des Clos,Chartres
QP028003,28,Vieux Puits,Lucé
QP028004,28,Bruxelles - Arcades - Béguines,Lucé
QP028005,28,Tallemont - Bretagne,Mainvilliers
QP028006,28,Les Bâtes Tabellionne,Dreux Vernouillet
QP028007,28,Les Rochelles - Barthou,Dreux Vernouillet
QP028008,28,Dunant - Kennedy,Dreux Sainte-Gemme-Moronval
QP028009,28,Camus - Schweitzer,Châteaudun
QP028010,28,Le Val,Nogent-le-Rotrou
QP029001,29,Kerandon,Concarneau
QP029002,29,Kermoysan,Quimper
QP029003,29,Kerourien,Brest
QP029004,29,Bellevue,Brest
QP029005,29,Keredern,Brest
QP029006,29,Lambezellec Bourg,Brest
QP029007,29,Pontanezen,Brest
QP029008,29,Queliverzan Pontaniou,Brest
QP029009,29,Kerangoff Loti,Brest
QP02A001,2A,Pifano,Porto-Vecchio
QP02A002,2A,Salines,Ajaccio
QP02B001,2B,Quartier Sud V3,Bastia
QP02B002,2B,Centre Ancien,Bastia
QP030001,30,Cauvel - La Royale - Rochebelle,Alès
QP030002,30,Centre-ville,Anduze
QP030003,30,Pissevin - Valdegour,Nîmes
QP030004,30,Richelieu,Nîmes
QP030005,30,Chemin-bas D'Avignon,Nîmes
QP030006,30,Mas de Mingue,Nîmes
QP030007,30,Route de Beaucaire,Nîmes
QP030008,30,Némausus-Jonquilles et mas de ville,Nîmes
QP030009,30,Sabatot - Centre Ancien,Saint-Gilles
QP030010,30,Escanaux - Coronelle - Citadelle - Vigan Braquet,Bagnols-sur-Cèze
QP030011,30,Centre-ville,Pont-Saint-Esprit
QP030012,30,La Moulinelle,Beaucaire
QP030013,30,Centre-ville,Beaucaire
QP030014,30,L'Ecusson,Saint-Ambroix
QP030015,30,Le Bosquet,Vauvert
QP030016,30,Centre-ville - Arboux,La Grand-Combe
QP030017,30,Trescol - La Levade,La Grand-Combe
QP030018,30,Quartier prioritaire d'Uzès,Uzès
QP031001,31,Saint-Jean,Muret
QP031002,31,Centre Ouest,Muret
QP031003,31,Cœur De Ville,Saint-Gaudens
QP031004,31,Barradels,Blagnac
QP031005,31,Val D'Aran - Poitou - Pyrénées,Colomiers
QP031006,31,Pradettes,Toulouse
QP031007,31,Grand Mirail,Toulouse
QP031008,31,Arènes,Toulouse
QP031009,31,Bourbaki,Toulouse
QP031010,31,Empalot,Toulouse
QP031011,31,Les Izards - La Vache,Toulouse
QP031012,31,Cépière Beauregard,Toulouse
QP031013,31,Saint-Exupéry,Toulouse
QP031014,31,Soupetard,Toulouse
QP031015,31,Rangueil,Toulouse
QP031016,31,En Jacca,Colomiers
QP031017,31,Vivier Maçon,Cugnaux
QP031018,31,Négreneys,Toulouse
QP031019,31,La Gloire,Toulouse
QP032001,32,Grand Garros,Auch
QP033001,33,Quartier Champ de course,Le Bouscat  Eysines
