CODE QUARTIER,DÉPARTEMENT	,COMMUNES CONCERNÉES
QP057019,57,Hauts de Vallières,Metz
QP057020,57,Borny,Metz
QP057021,57,Sablon Sud,Metz
QP057022,57,La Patrotte - Metz-Nord,Metz
QP057023,57,Quartier Saint-Eloy - Boileau-Pré Génie,Woippy Metz
QP057024,57,Les Chênes,Hombourg-Haut
QP058001,58,Grande Pâture - Les Montôts,Nevers
QP058002,58,Le Banlay,Nevers
QP058003,58,Les Bords de Loire,Nevers
QP058004,58,La Baratte - Les Courlis,Nevers
QP058005,58,Saint-Laurent,Cosne-Cours-sur-Loire
QP059001,59,Quartier prioritaire de Hornaing,Hornaing
QP059002,59,Auby Centre,Auby
QP059003,59,Asturies - Belleforières,Auby Roost-Warendin
QP059004,59,Résidence Gayant,Douai Lambres-lez-Douai
QP059005,59,Flers en Escrebieux Pont de la Deûle - Dorignies,Douai Flers-en-Escrebieux
QP059006,59,Frais Marais,Douai Waziers
QP059007,59,Notre Dame - La Clochette - Le Bivouac,Douai Sin-le-Noble Waziers
QP059008,59,Faubourg de Béthune,Douai Cuincy
QP059009,59,Les Epis,Sin-le-Noble
QP059010,59,Haut Terroir - Le Vivier,Waziers
QP059011,59,Les Explorateurs - Place du 8-Mai-1945 - Jean Jaurés - La Flamenne,Feignies
QP059012,59,Quartier du Village,Ferrière-la-Grande
QP059013,59,Bois du Quesnoy,Hautmont
QP059014,59,Centre Lambreçon,Jeumont
QP059015,59,Long Prés - Prés Du Paradis,Louvroil
QP059016,59,Pont de pierre,Maubeuge
QP059017,59,Provinces françaises,Maubeuge
QP059018,59,L'Epinette,Maubeuge
QP059019,59,Quartier intercommunal Sous le Bois Montplaisir rue d'Hautmont,Neuf-Mesnil Hautmont Louvroil Maubeuge
QP059020,59,Verrerie - Square République,Anzin
QP059021,59,Zone intercommunale rives de l'Escaut,Anzin Beuvrages Valenciennes Bruay-sur-l'Escaut Raismes
QP059022,59,Cité Thiers - Cité du Rivage,Bruay-sur-l'Escaut Escautpont
QP059023,59,Centre-ville,Condé-sur-l'Escaut Fresnes-sur-Escaut
QP059024,59,Lecocq,Condé-sur-l'Escaut
QP059025,59,Centre-ville,Fresnes-sur-Escaut
QP059026,59,Le Trieu,Fresnes-sur-Escaut Odomez
QP059027,59,Vicq Quatre Chasses Poudrière Faiencerie,Onnaing Vicq
QP059028,59,Centre-ville,Quiévrechain
QP059029,59,La Pépinière,Saint-Saulve
QP059030,59,Dutemple Chasse Royale Saint Waast - La Sentinelle,Valenciennes La Sentinelle
QP059031,59,Zone intercommunale faubourg de Cambrai - La Briquette,Valenciennes Marly Aulnoy-lez-Valenciennes
QP059032,59,Cité Le Jard,Vieux-Condé
QP059033,59,La Solitude Hermitage,Vieux-Condé
QP059034,59,Quartier prioritaire d'Aniche,Aniche Auberchicourt
QP059035,59,Quartier prioritaire d'Auberchicourt Et Ecaillon,Ecaillon  Auberchicourt Masny
QP059036,59,Quartier prioritaire de Masny,Masny
QP059037,59,Quartier prioritaire de Montigny-en-Ostrevent,Montigny-en-Ostrevent
QP059038,59,Barrois,Pecquencourt Montigny-en-Ostrevent
QP059039,59,Lemay Sainte-Marie,Pecquencourt
QP059040,59,Quartier prioritaire de Somain,Somain
QP059041,59,Résidences Pasteur et Foch,Hazebrouck
QP059042,59,Centre-ville - Gambetta,Caudry
QP059043,59,Cœur d'Etoile,Le Quesnoy
QP059044,59,Fourmies,Fourmies
QP059045,59,Cité Des Bois,Ostricourt
QP059046,59,Vieux centre-ville Saint-Géry,Cambrai
QP059047,59,Quartier Saint-Roch,Cambrai
QP059048,59,Quartier Amérique,Cambrai
QP059049,59,Résidence d'Esnes,Cambrai
QP059050,59,Centre,Denain Douchy-les-Mines Lourches Haulchin
QP059051,59,Boulevard de la Liberté,Douchy-les-Mines
QP059052,59,Schneider,Escaudain Lourches Roeulx
QP059053,59,Couture Savonnerie,Escaudain
QP059054,59,Gambetta,Lourches Denain Escaudain
QP059055,59,Sabatier,Raismes
QP059056,59,Brunehaut,Escautpont Raismes Bruay-sur-l'Escaut
QP059057,59,Collinière,Saint-Amand-les-Eaux
QP059058,59,Elnon,Saint-Amand-les-Eaux
QP059059,59,Arenberg,Wallers Bellaing Raismes
QP059060,59,Petit Steedan,Coudekerque-Branche
QP059061,59,Saint Pol Sur Mer Quartiers Ouest,Dunkerque
QP059062,59,Banc Vert - Ile Jeanty - Carré de la Vieille - Jeu de mail,Dunkerque
QP059063,59,Soubise - Basse Ville,Dunkerque
QP059064,59,Albeck - Europe - Moulin,Grande-Synthe
QP059065,59,Degroote,Téteghem
QP059066,59,Pont de Bois,Villeneuve-d'Ascq
QP059067,59,Résidence-Poste-Terroir,Villeneuve-d'Ascq
QP059068,59,Résidence,Villeneuve-d'Ascq
QP059069,59,Attargette - Chanzy,Armentières
QP059070,59,Bizet - Briquetterie,Armentières
QP059071,59,Quartier intercommunal Hautchamps Longchamp - Lionderie - 3 Baudets,Hem Roubaix Lys-lez-Lannoy
QP059072,59,Pacot - Vandracq,Lambersart
QP059073,59,Secteur Ouest,Lille
QP059074,59,Secteur Sud,Lille Faches-Thumesnil Loos Lezennes Wattignies
QP059075,59,Secteur Nord-Est,Lille
QP059076,59,Secteur Nord,Lille
QP059077,59,Les Oliveaux,Loos
QP059078,59,Clemenceau-Kiener,Loos
QP059079,59,La Briquetterie,Marcq-en-Baroeul
QP059080,59,Nouveau Mons - Les Sarts- Dombrowski,Mons-en-Barœul Lille Villeneuve-d'Ascq
QP059081,59,Comtesse de Ségur,Ronchin
QP059082,59,Quartier intercommunal Blanc Seau - Croix Bas Saint-Pierre,Roubaix Tourcoing Wattrelos Croix
QP059083,59,Nouveau Roubaix,Roubaix
QP059084,59,La Mouchonnière,Seclin
QP059085,59,Phalempins,Tourcoing
QP059086,59,Virolois,Tourcoing
QP059087,59,La Bourgogne,Tourcoing
QP059088,59,Pont Rompu,Tourcoing
QP059089,59,Blanc Riez,Wattignies
QP059090,59,Epidéme Villas Couteau,Wattrelos  Tourcoing
QP059091,59,Centralité de Beaulieu,Wattrelos
QP060001,60,Les Hauts de Creil,Creil
QP060002,60,Les Martinets,Montataire
QP060003,60,Les Coteaux,Nogent-sur-Oise
QP060004,60,Les Rochers L'Obier,Nogent-sur-Oise
QP060005,60,Belle Vue Belle Visée,Villers-Saint-Paul  Monchy-Saint-Eloi
QP060006,60,Vivier Corax,Compiègne
QP060007,60,Clos des Roses,Compiègne
QP060008,60,La Victoire,Compiègne
QP060009,60,Saint-Jean,Beauvais
QP060010,60,Saint-Lucien,Beauvais
QP060011,60,Argentine,Beauvais
QP060012,60,Les Terriers,Pont-Sainte-Maxence
QP060013,60,Quartier de la Nacre,Méru
QP060014,60,Les Sables,Clermont Agnetz
QP060015,60,Liancourt les abords du Parc,Liancourt
QP060016,60,Quartier Kennedy,Crépy-en-Valois
QP060017,60,Beauséjour,Noyon
QP060018,60,Mont Siméon,Noyon
QP061001,61,Les Provinces,Argentan
QP061002,61,Saint-Michel - Vallée D'Auge,Argentan
QP061003,61,Saint-Michel,Flers
QP061004,61,Saint-Sauveur,Flers
QP061005,61,La Madeleine,L'Aigle
QP061006,61,Perseigne,Alençon
QP061007,61,Courteille,Alençon
QP062001,62,Quartier du mieux-être,Marquise
QP062002,62,Camus,Angres Liévin
QP062003,62,Plantigeons - Fosse 4,Carvin
QP062004,62,Centre-ville,Auchel
QP062005,62,Quartier des Cités 5 - Cité de Marles - Cité du Rond-Point,Auchel Calonne-Ricouart Marles-les-Mines
QP062006,62,Quartier Rimbert,Auchel Burbure
QP062007,62,Quartier Du Regain,Barlin
QP062008,62,Quartier du Mont Liébaut,Béthune Fouquières-lès-Béthune
QP062009,62,Quartier de la rue de Lille,Béthune Verquin
QP062010,62,Renaissance,Beuvry Labourse
QP062011,62,Le Centre,Bruay-la-Buissière Haillicourt
QP062012,62,Terrasses Basly,Bruay-la-Buissière
QP062013,62,Quartier Coteau du Stade Parc-Cité 34,Bruay-la-Buissière Divion
QP062014,62,Quartier des Cités 6 et 30,Calonne-Ricouart Divion
QP062015,62,Quartier Provinces - Longues Trinques,Cauchy-à-la-Tour  Auchel
QP062016,62,Quartier Saint-Elie - Fosse 13,Hulluch Haisnes Douvrin
QP062017,62,Le Haut d'Houdain,Houdain Haillicourt
QP062018,62,Terre-Noeve,Nœux-les-Mines
QP062019,62,République - Cité 4,Avion
QP062020,62,Cité des Brebis,Bully-les-Mines Mazingarbe
QP062021,62,Cité du Transvaal - Centre,Fouquières-lès-Lens Billy-Montigny
QP062022,62,Cité 5 - Cité 11,Grenay Loos-en-Gohelle Mazingarbe
QP062023,62,Cité Bellevue,Harnes
QP062024,62,Cité 12-14,Lens
QP062025,62,Grande Résidence,Lens Loison-sous-Lens Vendin-le-Vieil
QP062026,62,Cité 2,Lens
QP062027,62,Sellier Cité 4,Lens Eleu-dit-Leauwette
QP062028,62,Calonne - Marichelles - Vent De Bise,Liévin  Angres
QP062029,62,Les Hauts De Liévin - Résidence Des Provinces - Cités 9-9bis,Liévin Lens Loos-en-Gohelle
QP062030,62,Blum - Salengro - 109,Liévin
QP062031,62,3 Cités,Mazingarbe
QP062032,62,Cité 10,Sains-en-Gohelle
QP062033,62,Les Blanches Laines Fosse 11 12 13,Sallaumines  Avion
QP062034,62,Quartier du 3/15,Sallaumines Méricourt
QP062035,62,Cité des Taberneaux,Wingles
QP062036,62,Saint-Exupéry - Léon Blum,Longuenesse Saint-Omer Arques
QP062037,62,Quai du commerce - Saint-Sépulcre,Saint-Omer
QP062038,62,Du Village Au Moulin,Courcelles-lès-Lens
QP062039,62,Rotois - Saint-Roch,Courrières
QP062040,62,Cornuault,Evin-Malmaison  Ostricourt
QP062041,62,Macé - Darcy,Hénin-Beaumont
QP062042,62,Ponchelet - Kennedy,Hénin-Beaumont
QP062043,62,La Plaine du Sept,Montigny-en-Gohelle Courrières Fouquières-lès-Lens
QP062044,62,ZAC des Deux Villes,Hénin-Beaumont Montigny-en-Gohelle
QP062045,62,Quartier du Maroc - La Canche,Méricourt Rouvroy
QP062046,62,Nouméa,Rouvroy
QP062047,62,Languedoc - Cité 10,Billy-Montigny Rouvroy
QP062048,62,Quartier de la Haute Voie,Libercourt
QP062049,62,Damrémont,Boulogne-sur-Mer
QP062050,62,Centre-ville,Boulogne-sur-Mer
QP062051,62,Chemin Vert - Beaurepaire - Malborough,Boulogne-sur-Mer Saint-Martin-Boulogne
QP062052,62,Henriville - Montplaisir,Boulogne-sur-Mer Le Portel
QP062053,62,Quartier Tour du Renard,Outreau
QP062054,62,Quartier des Résidences,Le Portel
QP062055,62,Fort Nieulay - Cailloux - Saint-Pierre,Calais
QP062056,62,Beau Marais,Calais
QP062057,62,Ville centre,Lillers
QP062058,62,Centre historique,Aire-sur-la-Lys
QP062059,62,Quartier de la Renaissance,Etaples
QP062060,62,Quatre As,Achicourt
QP062061,62,Arras Ouest,Arras
QP062062,62,Saint-Michel Goudemand,Arras Saint-Laurent-Blangy
QP062063,62,Cheminots Jean Jaurès Moulin Hacart,Arras Achicourt
QP062064,62,Nouvelles Résidences,Saint-Nicolas Saint-Laurent-Blangy
QP063001,63,Molles Cizolles,Thiers
QP063002,63,Saint-Jacques,Clermont-Ferrand
QP063003,63,Quartiers Nord,Clermont-Ferrand
QP063004,63,La Gauthière,Clermont-Ferrand
QP063005,63,Fontaine du Bac,Clermont-Ferrand
QP063006,63,Cournon-d'Auvergne,Cournon-d'Auvergne
QP063007,63,Centre ancien,Thiers
QP064001,64,Maubec - Citadelle,Bayonne
QP064002,64,Hauts de Sainte-Croix,Bayonne
QP064003,64,Saragosse,Pau
QP064004,64,Ousse Des Bois,Pau
QP065001,65,Tarbes Ouest,Tarbes
QP065002,65,Tarbes Nord,Tarbes
QP065003,65,Tarbes Est,Tarbes Séméac
QP065004,65,Ophite,Lourdes
QP066001,66,Centre-ville,Elne
QP066002,66,Quartier Saint-Assiscle,Perpignan
QP066003,66,Quartier Gare,Perpignan
QP066004,66,Quartier Bas-Vernet Ancien Zus,Perpignan
QP066005,66,Diagonale du Haut - Moyen-Vernet,Perpignan
QP066006,66,Rois de Majorque,Perpignan
QP066007,66,Bas-Vernet Nouveau QPV,Perpignan
QP066008,66,Quartier Centre Ancien,Perpignan
QP066009,66,Quartier Nouveau Logis,Perpignan
QP066010,66,Quartier Champs de Mars,Perpignan
QP067001,67,Quartier Liberté,Bischwiller
QP067002,67,Les Pins - Musau,Haguenau
QP067003,67,Saverne - Quartiers Est,Saverne
QP067004,67,Quartiers Ouest,Bischheim Schiltigheim
QP067005,67,Guirbaden,Bischheim
QP067006,67,Libermann,Illkirch-Graffenstaden
QP067007,67,Quartier prioritaire de Lingolsheim,Lingolsheim
QP067008,67,Marais,Schiltigheim
QP067009,67,Hohberg,Strasbourg
QP067010,67,Molkenbronn,Strasbourg
QP067011,67,Hautepierre,Strasbourg
QP067012,67,Koenigshoffen-Est,Strasbourg
QP067013,67,Cronenbourg,Strasbourg
QP067014,67,Elsau,Strasbourg
QP067015,67,Laiterie,Strasbourg
QP067016,67,Neuhof - Meinau,Strasbourg
QP067017,67,Cité de l'Ill,Strasbourg
QP067018,67,Spach,Strasbourg
QP067019,67,Ampère,Strasbourg
QP067020,67,Port du Rhin,Strasbourg
QP067021,67,Murhof,Strasbourg
QP068001,68,Florimont - Bel Air,Colmar
QP068002,68,Europe - Schweitzer,Colmar
QP068003,68,Quartier Les Coteaux,Mulhouse
QP068004,68,Quartier de Bourtzwiller,Mulhouse
QP068005,68,Péricentre,Mulhouse
QP068006,68,Drouot - Jonquilles,Mulhouse Illzach
QP068007,68,Quartier Brustlein,Mulhouse
QP068008,68,Markstein - La Forêt,Wittenheim
QP068009,68,Quartier de la Gare,Saint-Louis
QP068010,68,Quartier Bel Air,Cernay
QP069001,69,Périmètre Nord de ville,Tarare
QP069002,69,Monod,Villeurbanne
QP069003,69,La Source,Neuville-sur-Saône
QP069004,69,Centre,Givors
QP069005,69,Les Pérouses,Brignais
QP069006,69,Le Garet,Villefranche-sur-Saône
QP069007,69,Béligny,Villefranche-sur-Saône
QP069008,69,Belleroche,Villefranche-sur-Saône Gleizé Limas
QP069009,69,Aiguerande,Belleville
QP069010,69,Parilly,Bron
QP069011,69,Terraillon - Chenier,Bron Vaulx-en-Velin
QP069012,69,Les Vernes,Givors
QP069013,69,La Saulaie,Oullins La Mulatière
QP069014,69,Hautes Roches,Pierre-Bénite
QP069015,69,Minguettes - Clochettes,Saint-Fons Vénissieux
QP069016,69,Arsenal - Carnot-Parmentier,Saint-Fons
QP069017,69,Les Collonges,Saint-Genis-Laval
QP069018,69,Grande Ile,Vaulx-en-Velin
QP069019,69,Sud,Vaulx-en-Velin
QP069020,69,Duclos - Barel,Vénissieux
QP069021,69,Les Buers Sud,Villeurbanne
QP069022,69,Bel Air - Les Brosses,Villeurbanne
QP069023,69,Saint-Jean,Villeurbanne
QP069024,69,Les Buers Nord,Villeurbanne
QP069025,69,Tonkin,Villeurbanne
QP069026,69,Prainet,Décines-Charpieu
QP069027,69,Le Mathiolan,Meyzieu
QP069028,69,Ville Nouvelle,Rillieux-la-Pape
QP069029,69,Bellevue,Saint-Priest
QP069030,69,Garibaldi,Saint-Priest
QP069031,69,Bel Air,Saint-Priest
QP069032,69,Sœurs Janin,Lyon 5e arrondissement
QP069033,69,Cités Sociales Gerland,Lyon7e arrondissement
QP069034,69,Moulin à Vent,Lyon 8e arrondissement
QP069035,69,Etats-Unis - Langlet Santy,Lyon 8e arrondissement Vénissieux
QP069036,69,Mermoz,Lyon 8e arrondissement
QP069037,69,Duchère,Lyon 9e arrondissement
QP069038,69,Loucheur - Gorge de Loup,Lyon 9e arrondissement
QP069039,69,Les Plaines,Givors
QP069040,69,Vallon,Grigny
QP069041,69,Le Vergoin,Lyon 9e arrondissement
QP069042,69,Moncey,Lyon 3e arrondissement
QP069043,69,Les Plantées,Meyzieu
QP070001,70,Rêpes - Montmarin,Vesoul
QP070002,70,Le Mortard,Lure
QP070003,70,Stade Messier,Luxeuil-les-Bains
QP070004,70,Les Chenevières,Héricourt
QP070005,70,Les Capucins,Gray
QP071001,71,Aubépins,Chalon-sur-Saône
QP071002,71,Stade - Fontaine au Loup,Chalon-sur-Saône
QP071003,71,Prés Saint-Jean,Chalon-sur-Saône
QP071004,71,La Chanaye - Résidence,Mâcon
QP071005,71,Les Blanchettes,Mâcon
QP071006,71,Les Saugeraies,Mâcon
QP071007,71,Marbé,Mâcon
QP071008,71,Saint Pantaléon,Autun
QP071009,71,Le Tennis,Le Creusot Torcy
QP071010,71,Harfleur - République - Lapérouse,Le Creusot
QP071011,71,Rives du Plessis,Montceau-les-Mines
QP071012,71,Bois du Verne,Montceau-les-Mines
QP071013,71,Résidence du Lac,Torcy
QP072001,72,La Rocade,Sablé-sur-Sarthe
QP072002,72,Chaoué Perrières,Allonnes
QP072003,72,Bellevue Carnac,Coulaines Le Mans
QP072004,72,Ronceray Glonnières Vauguyon,Le Mans
QP072005,72,Les Sablons,Le Mans
QP072006,72,L'Epine,Le Mans
QP072007,72,Montreux,Sablé-sur-Sarthe
QP073001,73,Biollay - Bellevue,Chambéry
QP073002,73,Les Hauts de Chambéry,Chambéry
QP073003,73,Marlioz,Aix-les-Bains
QP073004,73,Val de Roses - Contamine,Albertville
QP074001,74,Le Perrier - Château Rouge - Livron,Annemasse
QP074002,74,Le Châlet - Helvetia Park,Gaillard
QP074003,74,Les Ewües,Cluses
QP074004,74,Collonges Sainte-Hélène,Thonon-les-Bains
QP074005,74,Saint-Georges - Route de Thairy,Saint-Julien-en-Genevois
QP074006,74,Bois Jolivet - Les Iles - Bellerive,Bonneville
QP075001,75,Bédier - Boutroux,Paris 13e arrondissement
QP075002,75,Chaufourniers,Paris 19e arrondissement
QP075003,75,Villa d'Este,Paris 13e arrondissement
QP075004,75,Kellermann - Paul Bourget,Paris 13e arrondissement
QP075005,75,Jeanne d'Arc - Clisson,Paris 13e arrondissement
QP075006,75,Oudiné - Chevaleret,Paris 13e arrondissement
QP075007,75,Didot - Porte de Vanves,Paris 14e arrondissement
QP075008,75,Porte de Saint-Ouen - Porte Pouchet,Paris 17e arrondissement
QP075009,75,Blémont,Paris 18e arrondissement
QP075010,75,Porte Montmartre - Porte des Poissonniers - Moskova,Paris 18e arrondissement
QP075011,75,La Chapelle - Evangile,Paris 18e arrondissement
QP075012,75,Goutte d'Or,Paris 18e arrondissement
QP075013,75,Porte de la Chapelle - Charles Hermite,Paris 18e arrondissement Paris 19e arrondissement
QP075014,75,Stalingrad Riquet,Paris 19e arrondissement
QP075015,75,Michelet - Alphonse Karr - Rue de Nantes,Paris 19e arrondissement Paris 18e arrondissement
QP075016,75,Danube - Solidarité - Marseillaise,Paris 19e arrondissement
QP075017,75,Algérie,Paris 19e arrondissement
QP075018,75,Compans - Pelleport,Paris 20e arrondissement Paris 19e arrondissement
QP075019,75,Les Portes du 20e,Paris 20e arrondissement
QP075020,75,Grand Belleville 10e - 11e - 20e,Paris 20e arrondissement Paris 11e arrondissement Paris 10e arrondissement
QP076001,76,Val Druel,Dieppe
QP076002,76,Neuville,Dieppe
QP076003,76,Les Bruyères,Dieppe
QP076004,76,Centre-ville,Gonfreville-l'Orcher
QP076005,76,Mont Gaillard,Le Havre
QP076006,76,Centre Ancien - Quartiers Sud,Le Havre
QP076007,76,Bois-De-Bléville,Le Havre
QP076008,76,Bléville Nord,Le Havre
QP076009,76,Bléville Sud,Le Havre
QP076010,76,Caucriauville Soquence,Le Havre
QP076011,76,Plateau,Canteleu
QP076012,76,Quartier des arts et des fleurs - Feugrais,Cléon Saint-Aubin-lès-Elbeuf
QP076013,76,Parc du Robec,Darnétal
QP076014,76,Centre-ville,Elbeuf
QP076015,76,Les Bouttières,Grand-Couronne
QP076016,76,Diderot - Les Mesliers,Grand-Couronne
QP076017,76,Quartier De Binche,Maromme
QP076018,76,Le Quartier Jean Moulin,Notre-Dame-de-Bondeville
QP076019,76,Oissel sur Seine Nord,Oissel
QP076020,76,Quartier de la Piscine,Le Petit-Quevilly
QP076021,76,Grammont,Rouen
QP076022,76,Les Hauts de Rouen,Rouen Bihorel
QP076023,76,Quartier Château Blanc,Saint-Etienne-du-Rouvray
QP076024,76,Quartier Thorez - Grimau,Saint-Etienne-du-Rouvray
QP076025,76,Quartier Hartmann - La Houssière,Saint-Etienne-du-Rouvray
QP076026,76,Buisson - Gallouen,Sotteville-lès-Rouen Saint-Étienne-du-Rouvray
QP076027,76,Lalizel,Barentin
QP076028,76,Parc du Ramponneau,Fécamp
QP077001,77,La Renardière,Roissy-en-Brie
QP077002,77,La Grande Prairie,Chelles
QP077003,77,Schweitzer - Laennec,Chelles
QP077004,77,Orly Parc,Lagny-sur-Marne
QP077005,77,Les Deux Parcs-Luzard,Noisiel Champs-sur-Marne
QP077006,77,L'Arche Guedon,Torcy
QP077007,77,Le Mail,Torcy
QP077008,77,La Plaine de Lys - Bernard de Poret,Dammarie-les-Lys
QP077009,77,Les Courtilleraie - Le Circé,Le Mée-sur-Seine
QP077010,77,Plateau de Corbeil - Plein-ciel,Melun Le Mée-sur-Seine
QP077011,77,Les Mezereaux,Melun
QP077012,77,L'Almont,Melun
QP077013,77,Beauval Dunant,Meaux
QP077014,77,Surville,Montereau-Fault-Yonne
QP077015,77,Les Fougères,Avon
QP077016,77,Résidence Montmirail,La Ferté-sous-Jouarre
QP077017,77,Champbenoist,Provins
QP077018,77,Anne Franck,Ozoir-la-Ferrière
QP077019,77,Les Templiers,Coulommiers
QP077020,77,Mont Saint-Martin,Nemours
QP077021,77,Quartier République Vilvaudé,Villeparisis
QP077022,77,Lugny Maronniers - Résidence du Parc,Moissy-Cramayel
QP077023,77,Centre-ville - Quartier de L'Europe,Savigny-le-Temple
QP077024,77,Droits de L'Homme,Savigny-le-Temple
QP078001,78,Val Fourré,Mantes-la-Jolie
QP078002,78,Merisiers Plaisances,Mantes-la-Ville
QP078003,78,Domaine de la Vallée,Mantes-la-Ville
QP078004,78,Petits Prés Sept Mares,Élancourt Maurepas
QP078005,78,Pont du Routoir 2,Guyancourt
QP078006,78,Merisiers-Plaine de Neauphle,Trappes
QP078007,78,Jean Macé,Trappes
QP078008,78,Bois de L'Etang,La Verrière
QP078009,78,Oiseaux,Carrières-sous-Poissy
QP078010,78,Fleurs,Carrières-sous-Poissy
QP078011,78,Noe-Feucherets,Chanteloup-les-Vignes
QP078012,78,Cité Du Parc,Vernouillet
QP078013,78,Centre-Sud,Limay
QP078014,78,Alouettes,Carrières-sur-Seine
QP078015,78,Plateau,Sartrouville
QP078016,78,Vieux Pays,Sartrouville
QP078017,78,Valibout,Plaisir
QP078018,78,Friches,Maurepas
QP078019,78,Beauregard,Poissy
QP078020,78,Saint-Exupéry,Poissy
QP078021,78,Cinq Quartiers,Les Mureaux
QP078022,78,Cité Renault - Centre-ville,Les Mureaux
QP079001,79,Clou Bouchet,Niort
QP079002,79,Tour Chabot Gavacherie,Niort
QP079003,79,Pontreau Colline Saint-André,Niort
QP079004,79,Les Capucins,Thouars
QP079005,79,Valette,Bressuire
QP080001,80,Etouvie,Amiens
QP080002,80,Pierre Rollin,Amiens
QP080003,80,Amiens Nord,Amiens
QP080004,80,Marcel Paul Salamandre,Amiens
QP080005,80,Condorcet Philéas Lebesgue,Amiens
QP080006,80,Les Parcheminiers,Amiens
QP080007,80,Soleil Levant,Abbeville
QP080008,80,L'Espérance,Abbeville
QP080009,80,Les Argillières,Abbeville
QP081001,81,La Falgalarié,Aussillon
QP081002,81,Laden Petit Train,Castres
QP081003,81,Lameilhé,Castres
QP081004,81,Aillot Bisséous Lardaillé,Castres
QP081005,81,Centre-ville,Castres
QP081006,81,Cantepau,Albi
QP081007,81,Veyrières Rayssac,Albi
QP081008,81,Lapanouse,Albi
QP081009,81,Rajol - Cérou - Gourgatieux - Bouloc - Verrerie,Carmaux
QP081010,81,Lentajou - Catalanis,Gaillac
QP081011,81,Crins - En Gach,Graulhet
QP082001,82,Cœur de Ville,Montauban
QP082002,82,Médiathèque - Chambord,Montauban
QP082003,82,Centre-ville,Moissac
QP082004,82,Sarlac,Moissac
QP083001,83,L'Agachon,Fréjus
QP083002,83,Centre-ville,Draguignan
QP083003,83,Les Collettes,Draguignan
QP083004,83,Centre-ville,Le Muy
QP083005,83,Romain Rolland,La Garde
QP083006,83,Centre-ville,Hyères
QP083007,83,Val des Rougières,Hyères
QP083008,83,Berthe,La Seyne-sur-Mer
QP083009,83,Centre-ville,La Seyne-sur-Mer
QP083010,83,La Beaucaire,Toulon
QP083011,83,La Florane,Toulon
QP083012,83,Pontcarral,Toulon
QP083013,83,Pont Du Las- Rodeilhac,Toulon
QP083014,83,Beaulieu- Sainte-Marie,Toulon
QP083015,83,Sainte-Musse,Toulon
QP083016,83,Centre-ville,Toulon
QP083017,83,Le Jonquet- La Baume- Le Guynemer,Toulon
QP083018,83,La Gabelle,Fréjus
QP083019,83,Centre-ville - Le Vergeiras,Le Luc
QP083020,83,Centre-ville,Brignoles
QP083021,83,Le Carami,Brignoles
QP084001,84,Quartiers Griffons et centre-ville,Sorgues
QP084002,84,Monclar Champfleury Rocade Sud Barbière Croix des Oiseaux,Avignon
QP084003,84,Quartiers Nord Est,Avignon
QP084004,84,Quartier de Saint-Chamand,Avignon
QP084005,84,Quartiers Camp Rambaud - Les Mérides,Le Pontet
QP084006,84,Quartiers Joffre et centre-ville,Le Pontet
QP084007,84,Quartiers centre ancien et Sud-Ouest,Pertuis
QP084008,84,Centre-ville,Carpentras
QP084009,84,Amandier - Eléphants,Carpentras
QP084010,84,Pous du Plan,Carpentras
QP084011,84,Quintine - Villemarie - Ubac - Le Parc,Carpentras
QP084012,84,Fourchevieilles Comtadines L'Aygues,Orange
QP084013,84,Quartiers Nogent Saint-Clément,Orange
QP084014,84,Quartiers Générat Establet,Sorgues
QP084015,84,Quartier de Chaffunes,Sorgues
QP084016,84,Quartiers du Vieux Moulin Aux Mûriers,Monteux
QP084017,84,Centre ancien et quartier de Saint-Michel,Apt
QP084018,84,Quartiers Nord - Ouest,L'Isle-sur-la-Sorgue
QP084019,84,Centre ancien - Les Tours - La Gaillarde - Mistral - Sévigné,Valréas
QP084020,84,Quartiers Dr Ayme Condamines Barillon Saint-Martin Bon Puits Saint-Gilles Ratacans,Cavaillon
QP084021,84,Quartiers La Clède Gare route de Pertuis Saint-Anne,Cavaillon
QP084022,84,Nord du Centre Ancien Giono Ouest,Bollène
QP085001,85,Jean Yole - Pyramides,La Roche-sur-Yon
QP085002,85,Vigne-aux-Roses,La Roche-sur-Yon
QP085003,85,Liberté - Zola,La Roche-sur-Yon
QP085004,85,Centre - Moulins Liots,Fontenay-le-Comte
QP086001,86,Lac Renardières Ozon,Châtellerault
QP086002,86,Châteauneuf Centre-ville,Châtellerault
QP086003,86,Bel Air,Poitiers
QP086004,86,Trois Cités,Poitiers Saint-Benoît
QP086005,86,Couronneries,Poitiers Buxerolles
QP086006,86,Beaulieu,Poitiers
QP087001,87,Portes Ferrées,Limoges
QP087002,87,La Bastide,Limoges
QP087003,87,Le Sablard,Limoges
QP087004,87,Beaubreuil,Limoges
QP087005,87,Val De L'Aurence Sud,Limoges
QP087006,87,Val De L'Aurence Nord,Limoges
QP087007,87,Les Coutures,Limoges
QP087008,87,Bellevue,Limoges
QP087009,87,Le Vigenal,Limoges
QP088001,88,Bitola,Epinal
QP088002,88,La Justice,Epinal
QP088003,88,Le Haut Du Gras,Golbey
QP088004,88,Le Rhumont,Remiremont
QP088005,88,Saint-Roch - L'Orme,Saint-Dié-des-Vosges
QP088006,88,Kellermann,Saint-Dié-des-Vosges
QP089001,89,La Rive Droite,Auxerre
QP089002,89,Les Brichères - Sainte Geneviève,Auxerre
