Code U2A;Libellé U2A;Action menée;Adresse;latitude;longitude;result_address;result_score;result_type;result_id
A1;Siège;Entrepôt pour aide matérielle;98 rue Didot   75014 PARIS 14EME ARRONDISSEMENT;48.832753;2.325672;14e Arrondissement;0.39;city;75114
E0101;Entrepôt de Saint Nizier le Désert;Entrepôt pour aide matérielle;3 rue Henry Dunant   1000 BOURG EN BRESSE;46.212381;5.228761;3 Rue Henri Dunant 01000 Bourg-en-Bresse;0.78;housenumber;01053_1860_9b4ea4
E0901;Entrepôt dept. Ariège;Entrepôt pour aide matérielle;9 avenue du 11 novembre   9600 Laroque-d'Olmes;42.969885;1.866361;9 Avenue du 11 Novembre 1918 09600 Laroque-d'Olmes;0.77;housenumber;09157_0039_e18eb4
E1101;Entrepôt dept. Carcassonne;Entrepôt pour aide matérielle;18 rue de l'industrie   11800 TREBES;43.20669;2.419186;18 Rue de l'Industrie 11800 Trèbes;0.91;housenumber;11397_0123_3d8aec
E1301;Entrepôt d'Aix en Provence;Entrepôt pour aide matérielle;1070 rue du Lieutenant Pareyre   13290 LES MILLES;;;;;;
E3001;Entrepôt de Beaucaire;Entrepôt pour aide matérielle;16, Rue de la Placette   30300 Beaucaire;43.807912;4.646769;16 Rue de la Placette 30300 Beaucaire;0.92;housenumber;30032_0860_5ea923
E3002;Entrepôt de Nimes;Entrepôt pour aide matérielle;2160 chemin de Bachas   30000 NIMES;43.811189;4.37163;2160 Chemin du Bachas 30000 Nîmes;0.83;housenumber;30189_0745_9457ab
E5601;A DEFINIR;Centre de Distribution Alimentaire;  6-8 rue François Robin 56100 LORIENT;47.751612;-3.380022;8 Rue François Robin 56100 Lorient;0.88;housenumber;56121_2177_dd55d9
E5602;Entrepôt du Morbihan;Entrepôt pour aide matérielle;6-8 rue François Robin   56100 LORIENT;47.751612;-3.380022;8 Rue François Robin 56100 Lorient;0.88;housenumber;56121_2177_dd55d9
E5901;Entrepôt de Lomme;Entrepôt pour aide matérielle;60 rue Destombes .  59160 LOMME;50.645059;3.006093;60 Rue Destombes 59160 Lille;0.71;housenumber;59350_9424_e13d74
E6201;Entrepôt de Saint Omer;Entrepôt pour aide matérielle;Entrepôt Gillias   62500 Saint Omer;50.751346;2.256874;Rue Allent 62500 Saint-Omer;0.5;street;62765_0070_6e079e
E6202;Entrepôt de Lens;Entrepôt pour aide matérielle;  176 avenue Van Pelt 62300 Lens;50.430654;2.845914;176 Avenue Alfred Van Pelt 62300 Lens;0.76;housenumber;62498_0090_e5aa1a
E7001;Entrepôt des alliés Vesoul;Entrepôt pour aide matérielle;78 bd des Alliés   70000 Vesoul;47.618972;6.165417;78 Boulevard des Alliés 70000 Vesoul;0.71;housenumber;70550_0040_dba377
E7301;Entrepôt dept. Savoie;Entrepôt pour aide matérielle;4 rue Alice Eynard   73100 Aix-les-Bains;45.694196;5.903178;4 Rue Alice Eynard 73100 Aix-les-Bains;0.92;housenumber;73008_0060_066709
E7701;Entrepôt de Limoges Fourches;Entrepôt pour aide matérielle;Rue de Bougainville prolongée   77550 Limoges Fourches;48.626049;2.682126;Rue de Bougainville 77550 Limoges-Fourches;0.73;street;77252_0020_58c967
E7702;Entrepôt de Mareuil les Meaux;Entrepôt pour aide matérielle;Village d'Entreprises de Mareuil 832 avenue du Général de Gaulle Bloc 836 77100 MAREUIL LES MEAUX;;;;;;
E7801;A DEFINIR;Centre de Distribution Alimentaire;9 rue du général Exelmans   78140 VELIZY VILLACOUBLAY;48.781258;2.201203;9 Rue du Général Exelmans 78140 Vélizy-Villacoublay;0.92;housenumber;78640_0229_baadf9
E7802;Entrepôt de Velizy;Entrepôt pour aide matérielle;9 rue du Général Exelmans   78140 VELIZY VILLACOUBLAY;48.781258;2.201203;9 Rue du Général Exelmans 78140 Vélizy-Villacoublay;0.92;housenumber;78640_0229_baadf9
E8201;Entrepôt Montauban;Entrepôt pour aide matérielle;830 Bd Blaise Doumerc   82000 MONTAUBAN;44.019372;1.362834;830 Boulevard Blaise Doumerc 82000 Montauban;0.76;housenumber;82121_0830_1f3020
E8202;Entrepôt de Moissac;Entrepôt pour aide matérielle;  8 Rue Daubasse 82200 Moissac;44.102185;1.088908;8 Rue Daubasse 82200 Moissac;0.92;housenumber;82112_1290_e6b2bb
E8801;Entrepôt dept. des Vosges;Entrepôt pour aide matérielle;115 rue Neuve Grange Saint-Laurent  88000 EPINAL;48.14637;6.46304;115 Rue Neuve Grange 88000 Épinal;0.66;housenumber;88160_XXXX_3bc805
E9001;Entrepôt de Belfort;Entrepôt pour aide matérielle;15 Av sarail   90000 BELFORT;47.635423;6.861775;15 Avenue du Général Sarrail 90000 Belfort;0.55;housenumber;90010_1790_795406
E9403;Entrepôt de Limeil Brevannes;Entrepôt pour aide matérielle;  2 RUE ALBERT GARRY 94450 LIMEIL BREVANNES;48.754182;2.477818;2 Rue Albert Garry 94450 Limeil-Brévannes;0.92;housenumber;94044_XXXX_b553d9
E9501;Entrepôt dept. Val d'Oise;Entrepôt pour aide matérielle;1 BIS, Rue HENRI DUNANT   95460 EZANVILLE;49.035022;2.342539;1BIS Rue Henri Dunant 95460 Ézanville;0.84;housenumber;95229_0249_85a0cd
U01;DD de l'Ain;Distribution de chèques;3 rue Henri Dunant   1000 BOURG EN BRESSE;46.212381;5.228761;3 Rue Henri Dunant 01000 Bourg-en-Bresse;0.86;housenumber;01053_1860_9b4ea4
U0101;Centre distribution de Belley;Centre de Distribution Alimentaire;    ;;;;;;
U0102;Centre distribution Villars les Dombes;Centre de Distribution Alimentaire;35, Rue PAUL DUPERRIER   1330 Villars les Dombes;46.000227;5.028039;35 Rue Marcel Paul Duperrier 01330 Villars-les-Dombes;0.75;housenumber;01443_XXXX_cc04a3
U0103;Centre distribution Montrevel en Bresse;Centre de Distribution Alimentaire;15 rue de la Gare   1340 Montrevel en Bresse;46.335977;5.127872;15 Rue de la Gare 01340 Montrevel-en-Bresse;0.86;housenumber;01266_0050_de4a0f
U0104;Centre distrib Châtillon sur Chalaronne;Centre de Distribution Alimentaire;Impasse des Hortensias   1400 Châtillon sur Chalaronne;46.121829;4.956587;Impasse des Hortensias 01400 Châtillon-sur-Chalaronne;0.87;street;01093_0213_5b60df
U0105;Centre distribution Hauteville Lompnes;Centre de Distribution Alimentaire;116 rue masonod   1110 HAUTEVILLE LOMPNES;45.978318;5.600061;116 Rue Masonod 01110 Hauteville-Lompnes;0.85;housenumber;01185_0410_be1fae
U0106;Centre de distribution de Bellegarde;Centre de Distribution Alimentaire;13 rue Viala   1200 Bellegarde;46.105829;5.826916;13 Rue Viala 01200 Bellegarde-sur-Valserine;0.56;housenumber;01033_0549_2c59f3
U0107;Centre distribution Montmerle sur Saône;Centre de Distribution Alimentaire;29 rue des Minimes   1090 Montmerle sur Saône;46.082104;4.757226;29 Rue des Minimes 01090 Montmerle-sur-Saône;0.85;housenumber;01263_0280_3ad03d
U0108;FERME CD d'Artemare;Centre de Distribution Alimentaire;Gymnase d'Artemare Rue Plâtre  1510 Artemare;;;;;;
U0109;Centre de distribution Culoz;Centre de Distribution Alimentaire;Clos Poncet   1350 Culoz;45.848342;5.777966;Avenue Antonin Poncet 01350 Culoz;0.4;street;01138_0140_dccb9c
U0110;Centre de distribution de Thoissey;Centre de Distribution Alimentaire;20, Faubourg des Dombes   1140  Thoissey;46.172985;4.803946;20 Rue Faubourg des Dombes 01140 Thoissey;0.77;housenumber;01420_XXXX_05e9d9
U0111;Centre distribution de Virieu le Grand;Centre de Distribution Alimentaire;126  route de Lyon BP01  1510 Virieu le Grand;45.848243;5.649865;126 Route de Lyon 01510 Virieu-le-Grand;0.8;housenumber;01452_0033_2d7fc9
U0112;Centre distribution de Vonnas;Centre de Distribution Alimentaire;RESIDENCE LE TRIOLET Rue Anne-Marie Crolet  1540 Vonnas;;;;;;
U0113;FERMER - CD de Coligny;Centre de Distribution Alimentaire;Mairie de Coligny   1270 Coligny;;;;;;
U0114;Centre de distribution de Trevoux;Centre de Distribution Alimentaire;82 Grande Rue   1600 Trevoux;45.941893;4.772089;82 Grande Rue 01600 Trévoux;0.82;housenumber;01427_0520_6f9795
U0115;Centre distribution Pont de Vaux;Centre de Distribution Alimentaire;L'Arquebuse   1190 PONT DE VAUX;46.430025;4.94283;Rue de l'Arquebuse 01190 Pont-de-Vaux;0.67;street;01305_0055_f64e6b
U0116;Centre distribution de Bâgé-la-Ville;Centre de Distribution Alimentaire;Salle de Fêtes de Bourg   1380 Bage la Ville;;;;;;
U0117;FERMER CD Prévessins-Moes;Centre de Distribution Alimentaire;453 route du Nant   1280 PREVESSIN-MOENS;46.249234;6.088783;453 Route du Nant 01280 Prévessin-Moëns;0.84;housenumber;01313_0074_0d0fbd
U0118;Epicerie sociale Prévessin-Moëns;Epicerie sociale;453 route de Nant   1280 Prévessin-Moëns;46.249234;6.088783;453 Route du Nant 01280 Prévessin-Moëns;0.76;housenumber;01313_0074_0d0fbd
U0119;Centre Distribution de Bourg en Bresse;Centre de Distribution Alimentaire;1 Boulevard des Belges   1000 Bourg en Bresse;46.207046;5.231765;1 Avenue des Belges 01000 Bourg-en-Bresse;0.58;housenumber;01053_0420_0f9136
U0120;Centre de distribution de Savigneux;Centre de Distribution Alimentaire;Le Bourg   1480 SAVIGNEUX;45.636283;4.07915;Barge 42600 Savigneux;0.37;locality;42299_B002_116315
U0121;Centre de distribution de Lagnieu;Centre de Distribution Alimentaire;14 rue du Docteur MEHIER   1150 LAGNIEU;45.90384;5.349583;14 Rue du Docteur Mehier 01150 Lagnieu;0.85;housenumber;01202_XXXX_1e7203
U0122;Centre de distribution de Meximieux;Centre de Distribution Alimentaire;11, rue des stades   1800 MEXIMIEUX;45.899815;5.192733;11 Rue des Stades 01800 Meximieux;0.84;housenumber;01244_0752_7fda02
U0123;Centre de distribution de Miribel;Centre de Distribution Alimentaire;32 passage du Lavoir   1700 MIRIBEL;45.823281;4.951849;32 Passage du Lavoir 01700 Miribel;0.84;housenumber;01249_0251_cff788
U0124;Centre distribution St Rambert en Bugey;Centre de Distribution Alimentaire;13 Rue de l' Europe   1230 Saint Rambert en Bugey;45.94314;5.432589;Avenue de l'Europe 01230 Saint-Rambert-en-Bugey;0.73;street;01384_0119_4c0db1
U02;DD de l'Aisne;Distribution de chèques;26, Rue CRONSTADT   2100 ST QUENTIN;49.838918;3.303541;26 Rue de Cronstadt 02100 Saint-Quentin;0.69;housenumber;02691_1540_cbe422
U0201;Centre distribution de Villers-Cotterêts;Centre de Distribution Alimentaire;23, Rue DEMOUSTIER   2600 VILLERS COTTERETS;49.252758;3.089545;23 Rue Demoustier 02600 Villers-Cotterêts;0.86;housenumber;02810_0150_e49451
U0202;Centre distribution de St Quentin;Centre de Distribution Alimentaire;26, Rue DE CRONSTADT   2100 ST QUENTIN;49.838918;3.303541;26 Rue de Cronstadt 02100 Saint-Quentin;0.75;housenumber;02691_1540_cbe422
U0203;Epicerie sociale de Château-Thierry;Epicerie sociale;15, Avenue de la république   2400 Château-Thierry;49.039914;3.40732;15 Avenue de la République 02400 Château-Thierry;0.88;housenumber;02168_1030_29e40b
U0204;Centre de distribution de Guisé;Centre de Distribution Alimentaire;62 rue Andre Godin   2120 GUISE;49.901946;3.626389;62 Rue André Godin 02120 Guise;0.84;housenumber;02361_0040_9d3e13
U0205;Centre de distribution de Chauny;Centre de Distribution Alimentaire;37 rue du Général Leclerc   2300 CHAUNY;49.61439;3.2165;37 Rue du Général Leclerc 02300 Chauny;0.85;housenumber;02173_0620_4a4be9
U0206;Centre de distribution de Laon;Centre de Distribution Alimentaire;26 rue Léon Nanquette   2000 LAON;49.568386;3.616478;26 Rue Léon Nanquette 02000 Laon;0.85;housenumber;02408_1550_5e8917
U0207;Centre de distribution de Soissons;Centre de Distribution Alimentaire;6 rue Porte Hozanne   2200 SOISSONS;49.383768;3.322894;6 Rue Porte Hozanne 02200 Soissons;0.85;housenumber;02722_1770_8a723e
U0208;Centre de distribution de Tergnier;Centre de Distribution Alimentaire;16 rue Victor Hugo   2700 TERGNIER;49.022032;1.143507;16 Rue Victor Hugo 27000 Évreux;0.58;housenumber;27229_3400_966f26
U0209;A DEFINIR (CD);Centre de Distribution Alimentaire;  37 rue du Général Leclerc 2300 Chauny;49.61439;3.2165;37 Rue du Général Leclerc 02300 Chauny;0.85;housenumber;02173_0620_4a4be9
U0210;Centre distribution Vervins;Centre de Distribution Alimentaire;52 rue des moulins   2140  VERVINS;49.832678;3.909584;52 Rue des Moulins 02140 Vervins;0.84;housenumber;02789_0170_b86fb0
U0211;Distribution CAP de Saint Quentin;Distribution de chèques;26 rue de Cronstadt   2100 Saint Quentin;49.838918;3.303541;26 Rue de Cronstadt 02100 Saint-Quentin;0.87;housenumber;02691_1540_cbe422
U0301;Centre de distribution de Vichy;Centre de Distribution Alimentaire;3 rue de l'Imprimerie   3200 VICHY;46.129158;3.432017;3 Rue de l'Imprimerie 03200 Vichy;0.85;housenumber;03310_1630_1048e8
U0302;Centre de distribution de Moulins;Centre de Distribution Alimentaire;Route de Decize   3000 MOULINS;46.580507;3.333343;Route de Decize 03000 Moulins;0.82;street;03190_0679_357c87
U04;DD Alpes Haute Provence;Distribution de chèques;18 rue Aubin   4000 Digne;44.088952;6.233538;18 Rue Georges Aubin 04000 Digne-les-Bains;0.48;housenumber;04070_XXXX_e266d9
U0401;Centre distribution de Digne les Bains;Centre de Distribution Alimentaire;18 rue Aubin   4000 Digne;44.088952;6.233538;18 Rue Georges Aubin 04000 Digne-les-Bains;0.48;housenumber;04070_XXXX_e266d9
U0402;Centre distribution de Manosque;Centre de Distribution Alimentaire;Imm les Heures CLAIRES rue des Heures CLAIRES  4100 MANOSQUE;;;;;;
U0403;Centre de distribution de Sisteron;Centre de Distribution Alimentaire;5 cours Melchior Donnet   4200 SISTERON;44.200066;5.943943;5 Cours Melchior Donnet 04200 Sisteron;0.85;housenumber;04209_0940_c0a939
U0404;Centre de distribution du Verdon;Centre de Distribution Alimentaire;Place Jean Marie Candray   4370 BEAUVEZER;44.129135;6.592991;Le Plan 04370 Beauvezer;0.39;locality;04025_B054_e5932f
U05;DD des Hautes Alpes;Distribution de chèques;28, Rue DE VALSERRES   5000 GAP;44.554461;6.078668;28 Rue de Valserres 05000 Gap;0.84;housenumber;05061_2240_021d94
U0501;Centre de distribution de Laragne;Centre de Distribution Alimentaire;Croix Rouge Française délégation locale de Laragne 10 rue du Chateau 5300 LARAGNE;44.314789;5.822206;10 Rue du Château 05300 Laragne-Montéglin;0.33;housenumber;05070_0062_8640e7
U0502;FERME CD de Veynes;Centre de Distribution Alimentaire;1 rue Anatole France   5400 VEYNES;44.535469;5.826261;1 Rue Anatole France 05400 Veynes;0.84;housenumber;05179_0008_dd4c2a
U0503;Centre de distribution de Gap;Centre de Distribution Alimentaire;78 route de Ste Marguerite   5000 GAP;44.543714;6.072086;78 Route de Sainte-Marguerite 05000 Gap;0.76;housenumber;05061_1981_a35321
U0504;Centre distribution de Guillestre;Centre de Distribution Alimentaire;Tour SIVOM   5600 GUILLESTRE;44.662159;6.649721;5600 La Longeagne 05600 Guillestre;0.3;housenumber;05065_B060_8612d9
