Code U2A;Libellé U2A;Action menée;Adresse;latitude;longitude;result_address;result_score;result_type;result_id
U0505;Centre distribution d'Embrun;Centre de Distribution Alimentaire;Place DE L'ARCHEVECHE  BP 84 5200 EMBRUN;44.562606;6.494722;Rue de l'Archevêché 05200 Embrun;0.59;street;05046_0012_dd03af
U0506;FERME CD de Briançon;Centre de Distribution Alimentaire;Rue Jean Moulin   5100 BRIANCON;44.892463;6.630977;Avenue Jean Moulin 05100 Briançon;0.71;street;05023_0454_7bb03f
U0507;Distribution itinérante de Gap;Centre de Distribution Alimentaire;28 rue de Valserres   5000 Gap;44.554461;6.078668;28 Rue de Valserres 05000 Gap;0.84;housenumber;05061_2240_021d94
U0508;Samu social de Gap;Samu social;Route de Sainte-Marguerite   5000 Gap;44.545982;6.075241;Route de Sainte-Marguerite 05000 Gap;0.86;street;05061_1981_a35321
U0509;Samu social d'Embrun;Samu social;Place de l'archevêché   5200 Embrun;44.562606;6.494722;Rue de l'Archevêché 05200 Embrun;0.69;street;05046_0012_dd03af
U06;DD des Alpes Maritimes;Distribution de chèques;658 boulevard Jean Ossola   6700 ST LAURENT DU VAR;43.665999;7.190257;658 Boulevard Jean Ossola 06700 Saint-Laurent-du-Var;0.79;housenumber;06123_0480_537412
U0601;Centre distribution de Vence;Centre de Distribution Alimentaire;20, Rue DE STAMFORD   6140 VENCE;43.722104;7.108962;20 Rue de Stamford 06140 Vence;0.83;housenumber;06157_XXXX_404660
U0602;Centre distribution de St Laurent du Var;Centre de Distribution Alimentaire;996, Avenue DU GENERAL DE GAULLE   6700 ST LAURENT DU VAR;43.671163;7.19062;996 Avenue du Général de Gaulle 06700 Saint-Laurent-du-Var;0.81;housenumber;06123_0396_88dad2
U0603;Centre de distribution Cagnes-sur-Mer;Centre de Distribution Alimentaire;25 Avenue Auguste Renoir   6800 Cagnes-sur-Mer;43.664887;7.151277;25 Avenue Auguste Renoir 06800 Cagnes-sur-Mer;0.87;housenumber;06027_0120_24133d
U0604;Centre de distribution Villeneuve-Loubet;Centre de Distribution Alimentaire;1 Avenue des Rives   6270 VILLENEUVE LOUBET;43.642315;7.134204;1 Avenue des Rives 06270 Villeneuve-Loubet;0.85;housenumber;06161_0655_048fd1
U0605;Centre distribution de Valbonne;Centre de Distribution Alimentaire;4 rue Louis  Funel   6560 Valbonne;43.622855;7.04764;4 Rue Louis Funel 06560 Valbonne;0.83;housenumber;06152_1023_9aae7f
U0606;Centre de distribution de Beausoleil;Centre de Distribution Alimentaire;7 rue Jules Ferry   6240 BEAUSOLEIL;43.743093;7.424635;7 Rue Jules Ferry 06240 Beausoleil;0.84;housenumber;06012_0320_1d59fe
U0607;Centre distribution de Cannes;Centre de Distribution Alimentaire;11, Rue MARCEAU   6400 CANNES;43.553126;7.023502;11 Rue Marceau 06400 Cannes;0.82;housenumber;06029_2270_64dc70
U0608;Centre Distribution Antibes;Centre de Distribution Alimentaire;6 rue de l'Isle   6600 Antibes;43.579968;7.124585;6 Rue de l'Isle 06600 Antibes;0.83;housenumber;06004_1620_28135d
U0609;Centre de distribution de Biot;Centre de Distribution Alimentaire;11 rue du Portugon   6410 BIOT;43.626924;7.098577;11 Rue du Portugon 06410 Biot;0.82;housenumber;06018_0610_a8703c
U0610;Samu social de Biot;Samu social;11 rue du Portugon   6410 BIOT;43.626924;7.098577;11 Rue du Portugon 06410 Biot;0.82;housenumber;06018_0610_a8703c
U0611;Centre distribution de Grasse;Centre de Distribution Alimentaire;4 avenue de Chiris   6130 Grasse;43.658574;6.926743;4 Avenue Chiris 06130 Grasse;0.76;housenumber;06069_0990_c970ce
U0612;Centre distribution Villefranche sur mer;Centre de Distribution Alimentaire;3, Avenue GENERAL DE GAULLE   6230 VILLEFRANCHE SUR MER;43.702421;7.309117;3 Avenue du Général de Gaulle 06230 Villefranche-sur-Mer;0.83;housenumber;06159_XXXX_98a7de
U0613;Samu social de St Laurent du Var;Samu social;658 bd Jean Ossola   6700 ST LAURENT DU VAR;43.665999;7.190257;658 Boulevard Jean Ossola 06700 Saint-Laurent-du-Var;0.64;housenumber;06123_0480_537412
U0614;Centre de distribution de Nice;Centre de Distribution Alimentaire;2 ruelle Saint-François   6000 NICE;43.698741;7.278474;2 Ruelle Saint-François 06300 Nice;0.74;housenumber;06088_5750_fcacc5
U0615;Epicerie Sociale de Nice;Epicerie sociale;65 boulevard Borriglione   6100 NICE;43.716675;7.261284;65 Avenue Borriglione 06100 Nice;0.51;housenumber;06088_0910_1acec8
U0616;Maraude de Menton;Samu social;CROIX ROUGE FRANCAISE DL DE MENTON / RCM 40 RUE DE PARTOUNEAUX 6500 MENTON;43.774699;7.500771;40 Rue Partouneaux 06500 Menton;0.37;housenumber;06083_1085_9cf13e
U0617;Centre de distribution de Menton;Centre de Distribution Alimentaire;40 rue de Partoureaux   6500 Menton;43.774699;7.500771;40 Rue Partouneaux 06500 Menton;0.67;housenumber;06083_1085_9cf13e
U0618;Centre de distribution de Carros;Centre de Distribution Alimentaire;27, rue des arbousiers   6510 CARROS;43.774672;7.189721;27 Rue des Arbousiers 06510 Carros;0.84;housenumber;06033_0040_4f9ed5
U0619;Maraude de Carros;Samu social;27, rue des arbousiers   6510 CARROS;43.774672;7.189721;27 Rue des Arbousiers 06510 Carros;0.84;housenumber;06033_0040_4f9ed5
U07;DD Ardèche;Distribution de chèques;1278 rue Henri Dunand   7500 GUILHERAND GRANGES;44.940362;4.866297;1278 Rue Henri Dunant 07500 Guilherand-Granges;0.78;housenumber;07102_0208_109f00
U0701;Centre de distribution d'Annonay;Centre de Distribution Alimentaire;11, Boulevard DE LA REPUBLIQUE   7100 ANNONAY;45.241328;4.674104;11 Boulevard de la République 07100 Annonay;0.86;housenumber;07010_1940_4be754
U0702;Centre distribution de Lamastre;Centre de Distribution Alimentaire;Les abattoirs Route de Tournon  7270 LAMASTRE;;;;;;
U0703;Centre de distribution de Vernoux;Centre de Distribution Alimentaire;13 Rue Antonin Calixte   7240 Vernoux-en-Vivarais;44.89605;4.645822;13 Rue Antonin Calixte 07240 Vernoux-en-Vivarais;0.86;housenumber;07338_XXXX_10c283
U0704;Centre distribution de Vals les Bains;Centre de Distribution Alimentaire;10 BIS, Boulevard DE VERNON   7600 VALS LES BAINS;44.664382;4.366989;10BIS Boulevard de Vernon 07600 Vals-les-Bains;0.81;housenumber;07331_0330_167ba8
U0705;Samu social de Vals les Bains;Samu social;10 BIS, Boulevard DE VERNON   7600 VALS LES BAINS;44.664382;4.366989;10BIS Boulevard de Vernon 07600 Vals-les-Bains;0.81;housenumber;07331_0330_167ba8
U0706;Centre de distribution de Le Pouzin;Centre de Distribution Alimentaire;Croix Rouge Française   7250 BP 46   LE POUZIN;;;;;;
U0707;FERMER - CD de Le Teil;Centre de Distribution Alimentaire;12, Boulevard DE STALINGRAD   7400 Le Teil;44.551529;4.684512;12 Boulevard Stalingrad 07400 Le Teil;0.78;housenumber;07319_0820_62cf87
U0708;Centre distribution de Tournon sur Rhône;Centre de Distribution Alimentaire;18, Rue du Docteur Cadet   7300 TOURNON SUR RHONE;45.06579;4.831736;18 Rue du Docteur Cadet 07300 Tournon-sur-Rhône;0.87;housenumber;07324_XXXX_20c961
U0709;Samu sociale de Tournon sur Rhône;Samu social;18, Rue du Docteur Cadet   7300 TOURNON SUR RHONE;45.06579;4.831736;18 Rue du Docteur Cadet 07300 Tournon-sur-Rhône;0.87;housenumber;07324_XXXX_20c961
U0710;A DEFINIR (CAP);Distribution de chèques;1278 Rue HENRI DUNANT   7500 GUILHERAND GRANGES;44.940362;4.866297;1278 Rue Henri Dunant 07500 Guilherand-Granges;0.86;housenumber;07102_0208_109f00
U0711;Espace bébé maman Le Teil;Espace bébé maman;9 boulevard de Stalingrad   7400 LE TEIL;44.551497;4.684627;9 Boulevard Stalingrad 07400 Le Teil;0.77;housenumber;07319_0820_62cf87
U0801;Centre distribution Charleville-Mézièrs;Centre de Distribution Alimentaire;38 rue Dubois Crancé   8000 Charleville-Mézièrs;49.770272;4.714529;38 Rue Dubois Crance 08000 Charleville-Mézières;0.82;housenumber;08105_1050_450579
U0802;Samu social Charleville-Mézièrs;Samu social;Rue Dubois Crancé   8000 Charleville-Mézièrs;49.770519;4.714745;Rue Dubois Crance 08000 Charleville-Mézières;0.82;street;08105_1050_450579
U0803;Centre distribution de Vouziers;Centre de Distribution Alimentaire;21 rue Henrionnet   8400 Vouziers;49.395358;4.70196;21 Rue Henrionnet 08400 Vouziers;0.84;housenumber;08490_0380_b6c276
U0804;Centre distribution de Rethel;Centre de Distribution Alimentaire;18 place de Caen   8300 Rethel;49.510214;4.368017;18 Place de Caen 08300 Rethel;0.84;housenumber;08362_0200_04ca1a
U09;DD de l'Ariège;Centre de Distribution Alimentaire;DD de l'Ariège Plcace de l'Arget  9000 FOIX;42.967077;1.605638;Place de l'Arget 09000 Foix;0.49;street;09122_0055_8d90dc
U0901;Samu social de Foix;Samu social;11, Boulevard ALSACE LORRAINE   9000 FOIX;42.962068;1.606781;11 Boulevard Alsace Lorraine 09000 Foix;0.87;housenumber;09122_0042_a58180
U0902;Centre de distribution Laroque-d'Olmes;Centre de Distribution Alimentaire;Espace MERMOZ   9600 Laroque-d'Olmes;;;;;;
U0903;Centre de distribution de Foix;Centre de Distribution Alimentaire;11, Boulevard ALSACE LORRAINE   9000 FOIX;42.962068;1.606781;11 Boulevard Alsace Lorraine 09000 Foix;0.87;housenumber;09122_0042_a58180
U0904;Centre de distribution Lavelanet;Centre de Distribution Alimentaire;80, Rue SEBILE   9300 LAVELANET;42.939723;1.854252;80 Rue Sébile 09300 Lavelanet;0.83;housenumber;09160_0650_9626b0
U0905;Centre de distribution de Pamiers;Centre de Distribution Alimentaire;26 Chemin de la Chartreuse   9100 Pamiers;43.118255;1.619349;26 Chemin de la Chartreuse 09100 Pamiers;0.86;housenumber;09225_0950_78a446
U0906;Centre distribution Tarascon-sur-Ariège;Centre de Distribution Alimentaire;MAISON DES ASSOCIATIONS Avenue DE L'AYROULE  9400 Tarascon-sur-Ariège;;;;;;
U0907;Centre de distribution Saint-Girons;Centre de Distribution Alimentaire;1, Rue PAUL BERT   9200 ST GIRONS;42.983248;1.131455;1 Rue Paul Bert 09200 Saint-Girons;0.72;housenumber;09261_0866_64aa6a
U0908;Centre de distribution du Fossat;Centre de Distribution Alimentaire;avenue de Toulouse   9130 LE FOSSAT;43.175199;1.407226;Route de Toulouse 09130 Le Fossat;0.63;street;09124_0140_40ea0e
U0909;Centre de distribution Ax-les-Thermes;Centre de Distribution Alimentaire;Immeuble de la résidence Avenue Delcassé  9110 Ax-les-Thermes;;;;;;
U0910;Centre de distribution Le Mas d'Azil;Centre de Distribution Alimentaire;Grande Rue   9290 Le Mas-d'Azil;43.080802;1.360364;Grande Rue 09290 Le Mas-d'Azil;0.83;street;09181_0015_b0d739
U0911;Epicerie Sociale itinérante La Roque d'O;Epicerie sociale;avenue Mermoz   9600 La Roque d Olmes;;;;;;
U1001;Centre de distribution de Bar-sur-Seine;Centre de Distribution Alimentaire;    ;;;;;;
U1002;Centre de distribution Nogent/Seine;Centre de Distribution Alimentaire;5 avenue du Cardinal   10400 NOGENT SUR SEINE;48.491631;3.512111;5 Avenue du Cardinal 10400 Nogent-sur-Seine;0.93;housenumber;10268_0442_161837
U1003;A DEFINIR (ES);Epicerie sociale;1 rue de Jargondis   10000 TROYES;48.29575;4.076212;1 Rue de Jargondis 10000 Troyes;0.92;housenumber;10387_2770_a5a24e
U1004;FERME de d'Arcis-sur-Aube;Centre de Distribution Alimentaire;8 avenue Grassin   10700 Arcis-sur-Aube;48.535879;4.143611;8 Avenue Grassin 10700 Arcis-sur-Aube;0.92;housenumber;10006_XXXX_c437c8
U1005;Centre distribution de Troyes;Centre de Distribution Alimentaire;18 Rue Louis Morin   10000 TROYES;48.304462;4.091688;18 Rue Louis Morin 10000 Troyes;0.93;housenumber;10387_3210_2b1069
U1006;Centre de distribution d'Auxon;Centre de Distribution Alimentaire;137 rue du Poulin   10130 AUXON;48.094553;3.904251;137 Rue du Moulin à Sivrey 10130 Auxon;0.61;housenumber;10018_XXXX_700575
U1007;A DEFINIR (ES);Epicerie sociale;2 rue du Pinchinat   10110 Bar-sur-Seine;48.112526;4.374582;2 Rue du Pinchinat 10110 Bar-sur-Seine;0.92;housenumber;10034_2545_dfeb53
U1101;A DEFINIR (CD);Centre de Distribution Alimentaire;18 rue de l'Industrie  . 11800 TREBES;43.20669;2.419186;18 Rue de l'Industrie 11800 Trèbes;0.91;housenumber;11397_0123_3d8aec
