ville;departement;ota;coord.lat;coord.lng
Amberieu;Ain;FALSE;45.958436;5.359556
Bellegarde;Ain;FALSE;46.107599;5.826179
Belley;Ain;FALSE;45.76096;5.686346
Bourg%20en%20bresse;Ain;FALSE;46.2051675;5.2255007
Chatillon%2FChalaronne;Ain;FALSE;46.1190875;4.9548183
Divonne;Ain;FALSE;46.358168;6.13604
Ferney-voltaire;Ain;FALSE;46.257632;6.108669
Gex;Ain;FALSE;46.3341909;6.058036
Lagnieu;Ain;FALSE;45.903996;5.3486269
Miribel;Ain;FALSE;45.824508;4.954543
Montluel;Ain;FALSE;45.8498919;5.056991
Nantua;Ain;FALSE;46.153405;5.607762
Oyonnax;Ain;FALSE;46.257773;5.655335
Saint-Genis-Pouilly;Ain;FALSE;46.2437479;6.02513
Tenay;Ain;FALSE;45.918236;5.509023
Pont%20de%20Vaux;Ain;FALSE;46.430278;4.938149
Anizy%20le%20ch%C3%A2teau;Aisne;FALSE;49.504504;3.451598
Beautor;Aisne;FALSE;49.658641;3.344862
Braine;Aisne;FALSE;49.341301;3.532218
Chateau-thierry;Aisne;FALSE;49.0459869;3.40262
Chauny;Aisne;FALSE;49.615576;3.219421
Fere%20en%20Tardenois;Aisne;FALSE;49.2012325;3.5134759
Fresnoy-le-Grand;Aisne;FALSE;49.946739;3.414825
Guise;Aisne;FALSE;49.898014;3.625057
La%20Fere;Aisne;FALSE;49.661256;3.367175
Laon;Aisne;FALSE;49.564133;3.61989
Le%20Nouvion%20en%20Thierache;Aisne;FALSE;50.0166169;3.784523
Neuilly%20st%20Front;Aisne;FALSE;49.170921;3.262185
Saint-Quentin;Aisne;FALSE;49.847066;3.2874
Sissonne;Aisne;FALSE;49.572338;3.891315
Soissons;Aisne;FALSE;49.376636;3.32342
Tergnier;Aisne;FALSE;49.656252;3.291635
Villers%20Cotterets;Aisne;FALSE;49.255061;3.0908159
Montcornet;Aisne;FALSE;49.69513;4.015263
Quessy;Aisne;FALSE;49.670707;3.301302
Rozoy;Aisne;FALSE;49.709939;4.128431
La%20Capelle;Aisne;FALSE;49.973507;3.916777
Bourbon%20l%27Archambault;Allier;FALSE;46.584969;3.057632
Cerilly;Allier;FALSE;46.6176;2.822083
Commentry;Allier;FALSE;46.288875;2.741496
Cosne%20d%27Allier-%20Domerat;Allier;FALSE;46.3609889;2.533002
Dompierre%20sur%20%20Besbre;Allier;FALSE;46.5196759;3.679078
Gannat;Allier;FALSE;46.100167;3.199103
Lapalisse;Allier;FALSE;46.250194;3.639317
Le%20Mayet%20de%20Montagne;Allier;FALSE;46.072624;3.667685
Montlu%C3%A7on;Allier;FALSE;46.3415466;2.6019912
Montmarault;Allier;FALSE;46.317409;2.9542989
Moulins;Allier;FALSE;46.568059;3.334417
Saint%20Germain;Allier;FALSE;46.408223;3.289771
Saint%20Pour%C3%A7ain%20sur%20Sioule;Allier;FALSE;46.307204;3.288997
Souvigny;Allier;FALSE;46.5339389;3.191994
Vallon%20en%20Sully;Allier;FALSE;46.536386;2.606956
Varennes%20sur%20Alliers;Allier;FALSE;46.3115552;3.4167655
Vichy;Allier;FALSE;46.131859;3.425488
Yzeure;Allier;FALSE;46.566314;3.354775
Barcelonnette;Alpes-de-Haute-Provence;FALSE;44.3863;6.650463
Digne%20les%20Bains;Alpes-de-Haute-Provence;FALSE;44.092193;6.235976
Forcalquier;Alpes-de-Haute-Provence;FALSE;43.959933;5.780712
Les%20Mees;Alpes-de-Haute-Provence;FALSE;44.028941;5.975404
Manosque;Alpes-de-Haute-Provence;FALSE;43.835744;5.790916
Oraison;Alpes-de-Haute-Provence;FALSE;43.914706;5.921487
Sisteron;Alpes-de-Haute-Provence;FALSE;44.194713;5.943191
Aspres%20sur%20Bueche;Hautes-Alpes;TRUE;44.523133;5.749486
Brian%C3%A7on;Hautes-Alpes;TRUE;44.899416;6.643179
Embrun;Hautes-Alpes;TRUE;44.564164;6.495865
Gap;Hautes-Alpes;TRUE;44.559638;6.079758
Laragne%20Monteglin;Hautes-Alpes;TRUE;44.315272;5.821642
Veynes;Hautes-Alpes;TRUE;44.540798;5.825865
Antibes;Alpes-Maritimes;FALSE;43.580418;7.125102
Cagnes%20sur%20Mer;Alpes-Maritimes;FALSE;43.663739;7.14882
Cannes%20les%20Halles;Alpes-Maritimes;FALSE;43.552213;7.011872
Cannes%20la%20Bocca;Alpes-Maritimes;FALSE;43.5524738;6.9665476
Grasse;Alpes-Maritimes;FALSE;43.660153;6.926492
Le%20Cannet;Alpes-Maritimes;FALSE;43.576551;7.01902
Mandelieu;Alpes-Maritimes;FALSE;43.546232;6.938309
Nice%20Dabray;Alpes-Maritimes;FALSE;43.7080527;7.2569373
Nice%20Falicon;Alpes-Maritimes;FALSE;43.7259724;7.255808
Nice%20Montel;Alpes-Maritimes;FALSE;43.6737899;7.2084
Nice%20Verany;Alpes-Maritimes;FALSE;43.7133876;7.2838417
Pegomas;Alpes-Maritimes;FALSE;43.5963179;6.933415
Saint%20Laurent%20du%20Var;Alpes-Maritimes;FALSE;43.673417;7.189811
Vence;Alpes-Maritimes;FALSE;43.7223216;7.1117033
Les%20Vall%C3%A9es%20%28V%C3%A9subie%20Tin%C3%A9e%29%20-;Alpes-Maritimes;FALSE;44.0616205;7.1383562
Annonay;Ard%C3%A8che;FALSE;45.239403;4.667349
Aubenas;Ard%C3%A8che;FALSE;44.620909;4.389863
Bourg%20St%20Andeol;Ard%C3%A8che;FALSE;44.3691869;4.647069
Le%20Cheylard;Ard%C3%A8che;FALSE;44.9061;4.423175
Largentiere;Ard%C3%A8che;FALSE;44.541555;4.29251
La%20Voulte;Ard%C3%A8che;FALSE;44.7996;4.780713
Flaviac;Ard%C3%A8che;FALSE;44.747241;4.675999
Blagny;Ardennes;FALSE;49.620191;5.190925
Carignan;Ardennes;FALSE;49.632487;5.168674
Bogny%20sur%20Meuse;Ardennes;FALSE;49.8550592;4.7473426
Charleville;Ardennes;FALSE;49.7839086;4.6441195
Givet;Ardennes;FALSE;50.136386;4.824387
Nouzonville;Ardennes;FALSE;49.815569;4.744117
Rethel;Ardennes;FALSE;49.5084965;4.3662756
Revin;Ardennes;FALSE;49.941893;4.637199
Sedan;Ardennes;FALSE;49.70349;4.93863
Vireux;Ardennes;FALSE;50.086319;4.724539
Wallerand;Ardennes;FALSE;50.08448;4.727663
Vrigne%20au%20Bois;Ardennes;FALSE;49.73362;4.853623
Artigat;Ari%C3%A8ge;FALSE;43.136117;1.439335
Ax-les-Thermes;Ari%C3%A8ge;FALSE;42.720254;1.837545
Foix;Ari%C3%A8ge;FALSE;42.964127;1.605232
