ville;departement;ota;coord.lat;coord.lng
La%20Bastide%20de%20Serou;Ari%C3%A8ge;FALSE;43.012268;1.429069
La%20Velanet;Ari%C3%A8ge;FALSE;42.937653;1.851472
Massat;Ari%C3%A8ge;FALSE;42.888663;1.347818
Maz%C3%A8res;Ari%C3%A8ge;FALSE;43.250484;1.67775
Mirepoix;Ari%C3%A8ge;FALSE;43.088226;1.873725
Pamiers;Ari%C3%A8ge;FALSE;43.114753;1.607953
Varilhes;Ari%C3%A8ge;FALSE;43.045905;1.627787
St%20Girons;Ari%C3%A8ge;FALSE;42.982876;1.146088
Saverdun;Ari%C3%A8ge;FALSE;43.233683;1.575968
Tarascon;Ari%C3%A8ge;FALSE;42.848524;1.604815
Bar%20sur%20aube;Aube;FALSE;48.231209;4.707771
Chaource;Aube;FALSE;48.056498;4.137442
La%20Chapelle%20St%20Luc;Aube;FALSE;48.312011;4.047818
Mussy%20sur%20Seine;Aube;FALSE;47.97939;4.498015
Nogent%20sur%20Seine;Aube;FALSE;48.492624;3.498165
Romilly%20sur%20Seine;Aube;FALSE;48.517732;3.726275
Bar%20sur%20Seine;Aube;FALSE;48.114154;4.373386
Troyes%20Morin;Aube;FALSE;48.3047633;4.0925202
Carcassonne;Aude;FALSE;43.212161;2.353663
Castelnaudary;Aude;FALSE;43.317118;1.95333
Chalabre;Aude;FALSE;42.98137;2.006934
Cuxac;Aude;FALSE;43.243983;2.998854
Cabardes;Aude;FALSE;43.2556964;2.3652485
Esperaza;Aude;FALSE;42.9291696;2.2149897
La%20Redorte;Aude;FALSE;43.2511259;2.6540254
Lezignan-Corbieres;Aude;FALSE;43.200503;2.7577759
Limoux;Aude;FALSE;43.053289;2.218142
Narbonne;Aude;FALSE;43.184277;3.003078
Port%20la%20Nouvelle;Aude;FALSE;43.021342;3.043916
Quillan;Aude;FALSE;42.875129;2.18546
Capdenac;Aveyron;FALSE;44.580702;2.069588
Decazeville;Aveyron;FALSE;44.560317;2.25183
Espalion;Aveyron;FALSE;44.520564;2.761317
Millau;Aveyron;FALSE;44.100575;3.077801
Rodez;Aveyron;FALSE;44.349389;2.575986
St%20Affrique;Aveyron;FALSE;43.95819;2.887126
Severac%20le%20Ch%C3%A2teau;Aveyron;FALSE;44.322012;3.07105
Baraqueville;Aveyron;FALSE;44.2779669;2.431974
Rieupeyroux%20St%20Geniez%20d%27Olt;Aveyron;FALSE;44.46564;2.97257
Laguiole;Aveyron;FALSE;44.683579;2.845605
Naucelle;Aveyron;FALSE;44.19817;2.341865
Aix%20en%20provence;Bouches-du-Rh%C3%B4ne;FALSE;43.529742;5.447427
Arles;Bouches-du-Rh%C3%B4ne;FALSE;43.676647;4.6277769
Aubagne;Bouches-du-Rh%C3%B4ne;FALSE;43.2926781;5.5676425
Auriol;Bouches-du-Rh%C3%B4ne;FALSE;43.369174;5.631363
Bouc%20Bel%20Air;Bouches-du-Rh%C3%B4ne;FALSE;43.451152;5.413875
Chateauneuf%20les%20Martigues;Bouches-du-Rh%C3%B4ne;FALSE;43.38296;5.164636
Fos%20sur%20Mer;Bouches-du-Rh%C3%B4ne;FALSE;43.437882;4.945711
Fuveau;Bouches-du-Rh%C3%B4ne;FALSE;43.4537819;5.560919
Gardanne;Bouches-du-Rh%C3%B4ne;FALSE;43.4525982;5.4717363
Gemenos;Bouches-du-Rh%C3%B4ne;FALSE;43.295388;5.628112
Istres;Bouches-du-Rh%C3%B4ne;FALSE;43.513006;4.987968
La%20Bouilladisse;Bouches-du-Rh%C3%B4ne;FALSE;43.394132;5.593219
La%20Ciotat;Bouches-du-Rh%C3%B4ne;FALSE;43.173653;5.605155
Marignane;Bouches-du-Rh%C3%B4ne;FALSE;43.4212739;5.218332
Marseille;Bouches-du-Rh%C3%B4ne;FALSE;43.3637514;5.3063193
Martigues;Bouches-du-Rh%C3%B4ne;FALSE;43.404811;5.053728
Miramas;Bouches-du-Rh%C3%B4ne;FALSE;43.588896;5.002136
Pelissanne;Bouches-du-Rh%C3%B4ne;FALSE;43.631049;5.150567
Peyrolles;Bouches-du-Rh%C3%B4ne;FALSE;43.648169;5.5836499
Port%20St%20Louis%20du%20Rh%C3%B4ne;Bouches-du-Rh%C3%B4ne;FALSE;43.387847;4.803225
Rognac;Bouches-du-Rh%C3%B4ne;FALSE;43.487871;5.23463
Roquevaire;Bouches-du-Rh%C3%B4ne;FALSE;43.349537;5.603996
Saint%20Chamas;Bouches-du-Rh%C3%B4ne;FALSE;43.550669;5.034508
Saint%20Martin%20de%20Crau;Bouches-du-Rh%C3%B4ne;FALSE;43.638628;4.812107
SSaint%20R%C3%A9my%20de%20Provence;Bouches-du-Rh%C3%B4ne;FALSE;43.788652;4.831343
Saint%20Victoret;Bouches-du-Rh%C3%B4ne;FALSE;43.420234;5.236007
Salon;Bouches-du-Rh%C3%B4ne;FALSE;43.6407013;5.0965059
Trest;Bouches-du-Rh%C3%B4ne;FALSE;43.446909;5.6841549
Vitrolles;Bouches-du-Rh%C3%B4ne;FALSE;43.458598;5.249703
Bayeux;Calvados;FALSE;49.276437;-0.70314
Cabourg;Calvados;FALSE;49.287981;-0.116292
Caen;Calvados;FALSE;49.182863;-0.370679
Caumont%20l%27Evente;Calvados;FALSE;49.0908609;-0.806386
Deauville;Calvados;FALSE;49.353976;0.075122
Falaise;Calvados;FALSE;48.893548;-0.201956
Herouville%20St%20Clair;Calvados;FALSE;49.20358;-0.333655
Bonfleur;Calvados;FALSE;49.418762;0.233262
Ifs;Calvados;FALSE;49.140254;-0.350503
Isigny-Sur-Mer;Calvados;FALSE;49.320257;-1.102929
Lisieux;Calvados;FALSE;49.145922;0.227849
Mezidon;Calvados;FALSE;49.0668095;0.0650337
Mondeville;Calvados;FALSE;49.176963;-0.319769
St%20Pierre%20sur%20Dives;Calvados;FALSE;49.0178749;-0.031555
St%20Remy;Calvados;FALSE;48.939314;-0.50342
Villers-Bocage;Calvados;FALSE;49.080522;-0.655118
Vire;Calvados;FALSE;48.837781;-0.888482
Aurillac;Cantal;FALSE;44.930953;2.444997
St%20Flour;Cantal;FALSE;45.033026;3.094862
Massiac;Cantal;FALSE;45.250053;3.199649
Mauriac;Cantal;FALSE;45.2199787;2.3366114
Maurs;Cantal;FALSE;44.711069;2.198335
Murat;Cantal;FALSE;45.1106539;2.86973
Ydes;Cantal;FALSE;45.34714;2.437323
Angoul%C3%AAme;Charente;FALSE;45.648377;0.1562369
Barbezieux;Charente;FALSE;45.472672;-0.151727
Chabanais;Charente;FALSE;45.876375;0.719759
Chalais;Charente;FALSE;45.272855;0.039542
Chasseneuil;Charente;FALSE;45.824163;0.449541
Chateauneuf;Charente;FALSE;45.599992;-0.05472
Cognac;Charente;FALSE;45.691046;-0.328744
Confolens;Charente;FALSE;46.014054;0.668317
Jarnac;Charente;FALSE;45.681389;-0.1739169
La%20Couronne;Charente;FALSE;45.608466;0.101397
La%20Rochefoucauld;Charente;FALSE;45.738137;0.38579
Le%20Gond%20Pontouvre;Charente;FALSE;45.687676;0.178453
Mansle;Charente;FALSE;45.876469;0.180265
Montbron;Charente;FALSE;45.666848;0.49889
Ruffec;Charente;FALSE;46.028559;0.199339
Soyaux%20%28nouvelle%20ad%3A%20Centre%20commercial%20Champs%20de%20Manoeuvre;Charente;FALSE;45.7519958;0.1534761
Bd%20L%C3%A9on%20Blum%29;Charente;FALSE;45.648066;0.1853499
Dolus%20d%27Oleron;Charente-Maritime;FALSE;45.91142;-1.252994
La%20Tremblade;Charente-Maritime;FALSE;45.770455;-1.140335
Marans;Charente-Maritime;FALSE;46.309462;-0.992865
St%20Jean%20d%27Angely;Charente-Maritime;FALSE;45.944823;-0.517763
St%20Martin%20de%20Re;Charente-Maritime;FALSE;46.203401;-1.367376
Vaux%20sur%20Mer;Charente-Maritime;FALSE;45.645123;-1.060334
Jonzac;Charente-Maritime;TRUE;45.445368;-0.431058
La%20Rochelle;Charente-Maritime;TRUE;46.160329;-1.151139
Luche;Charente-Maritime;TRUE;46.25284;-0.889219
Marans;Charente-Maritime;TRUE;46.309462;-0.992865
Pons;Charente-Maritime;TRUE;45.578107;-0.5469889
Rochefort;Charente-Maritime;TRUE;45.936698;-0.961697
Royan;Charente-Maritime;TRUE;45.623027;-1.043182
St%20Georges%20de%20Didonne;Charente-Maritime;TRUE;45.602716;-0.997838
St%20Martin%20de%20Re;Charente-Maritime;TRUE;46.203401;-1.367376
Saintes;Charente-Maritime;TRUE;45.744175;-0.633389
Simonneau;Charente-Maritime;TRUE;45.32768;-0.553379
Saujon;Charente-Maritime;TRUE;45.672361;-0.926507
Surgeres;Charente-Maritime;TRUE;46.104913;-0.751411
Vaux%20sur%20Mer;Charente-Maritime;TRUE;45.645123;-1.060334
Aubigny%20sur%20Nere;Cher;FALSE;47.488779;2.440923
Bourges;Cher;FALSE;47.081012;2.398782
St%20Amand%20Montrond;Cher;FALSE;46.7254859;2.505604
St%20Florent;Cher;FALSE;46.9940969;2.244033
Sancoins;Cher;FALSE;46.831017;2.919734
Vierzon;Cher;FALSE;47.221438;2.069791
Beaulieu-%20Neuvic;Corr%C3%A8ze;FALSE;45.382449;2.272544
Pompadour;Corr%C3%A8ze;FALSE;45.4349932;1.3948994
Saint%20Pantaleon;Corr%C3%A8ze;FALSE;45.14061;1.446773
Argentat;Corr%C3%A8ze;TRUE;45.093356;1.93755
Bort;Corr%C3%A8ze;TRUE;45.400996;2.495397
Brive%20la%20Gaillarde;Corr%C3%A8ze;TRUE;45.159555;1.533937
Egletons;Corr%C3%A8ze;TRUE;45.406018;2.0463779
Malemort;Corr%C3%A8ze;TRUE;45.169889;1.564005
Marcillac;Corr%C3%A8ze;TRUE;45.273478;2.031643
Meyac;Corr%C3%A8ze;TRUE;45.5367;2.1465519
Objat;Corr%C3%A8ze;TRUE;45.264093;1.409581
Treignac;Corr%C3%A8ze;TRUE;45.535827;1.795097
Tulle;Corr%C3%A8ze;TRUE;45.26565;1.771697
Ussel;Corr%C3%A8ze;TRUE;45.548905;2.313835
Uzerche;Corr%C3%A8ze;TRUE;45.424066;1.563457
Bastia;Corse;FALSE;42.697283;9.450881
Calvie;Corse;FALSE;42.567651;8.757222
Ghisonaccia;Corse;FALSE;42.016837;9.403981
Vanga%20di%20l%27Oru;Corse;FALSE;42.352388;9.535097
Corte;Corse;FALSE;42.2918623;9.1896607
Chatillon%20sur%20Seine;C%C3%B4te-d%27Or;FALSE;47.860455;4.573714
Pontailler%20sur%20Sa%C3%B4ne;C%C3%B4te-d%27Or;FALSE;47.304937;5.415417
St%20Jean%20de%20Losne;C%C3%B4te-d%27Or;FALSE;47.102266;5.262806
Saulieu;C%C3%B4te-d%27Or;FALSE;47.279494;4.22868
Selongey;C%C3%B4te-d%27Or;FALSE;47.587414;5.186164
Sombernon;C%C3%B4te-d%27Or;FALSE;47.307483;4.706632
Venaray%20les%20Laumes;C%C3%B4te-d%27Or;FALSE;47.542492;4.448031
Arnay%20le%20Duc;C%C3%B4te-d%27Or;TRUE;47.130623;4.485898
Auxonne;C%C3%B4te-d%27Or;TRUE;47.193543;5.388925
Beaune;C%C3%B4te-d%27Or;TRUE;47.02603;4.840004
Dijon;C%C3%B4te-d%27Or;TRUE;47.322047;5.04148
Dijon%20Reggio;C%C3%B4te-d%27Or;TRUE;47.338799;5.067956
Dijon%20Chevreul;C%C3%B4te-d%27Or;TRUE;47.3075165;5.0425506
Dijon%20Parmentier;C%C3%B4te-d%27Or;TRUE;47.3285804;5.0474664
Genlis;C%C3%B4te-d%27Or;TRUE;47.23887;5.223501
Is%20sur%20tille;C%C3%B4te-d%27Or;TRUE;47.521958;5.112544
Mirebeau%20sur%20Beze;C%C3%B4te-d%27Or;TRUE;47.398675;5.3167669
Montbrard;C%C3%B4te-d%27Or;TRUE;47.624329;4.337495
Nuits%20St%20Georges;C%C3%B4te-d%27Or;TRUE;47.137985;4.9503199
Pouilly%20en%20Auxois;C%C3%B4te-d%27Or;TRUE;47.262495;4.556286
Saulieu;C%C3%B4te-d%27Or;TRUE;47.279494;4.22868
Semur%20en%20Auxois;C%C3%B4te-d%27Or;TRUE;47.490238;4.33234
Seurre;C%C3%B4te-d%27Or;TRUE;46.999317;5.145516
Thomirey;C%C3%B4te-d%27Or;TRUE;47.081607;4.590625
Vitteaux;C%C3%B4te-d%27Or;TRUE;47.399533;4.539693
Corlay;C%C3%B4tes-d%27Armor;FALSE;48.318168;-3.05861
Dinan;C%C3%B4tes-d%27Armor;FALSE;48.454366;-2.047327
Etables-Sur-Mer;C%C3%B4tes-d%27Armor;FALSE;48.626757;-2.835582
Guingamp;C%C3%B4tes-d%27Armor;FALSE;48.561366;-3.148352
Lamballe;C%C3%B4tes-d%27Armor;FALSE;48.468637;-2.517322
Lannion;C%C3%B4tes-d%27Armor;FALSE;48.732084;-3.459144
Loudeac;C%C3%B4tes-d%27Armor;FALSE;48.176274;-2.752021
Matignon;C%C3%B4tes-d%27Armor;FALSE;48.595815;-2.2936899
Merdrignac;C%C3%B4tes-d%27Armor;FALSE;48.190983;-2.410899
Paimpol;C%C3%B4tes-d%27Armor;FALSE;48.779782;-3.048828
Rostronen;C%C3%B4tes-d%27Armor;FALSE;48.235447;-3.318145
St%20Brieuc;C%C3%B4tes-d%27Armor;FALSE;48.51418;-2.765835
Treguier;C%C3%B4tes-d%27Armor;FALSE;48.7875439;-3.2307769
Aubusson;Creuse;FALSE;45.95409;2.1689379
Auzances;Creuse;FALSE;46.025111;2.500712
B%C3%A9n%C3%A9vent%20l%27Abbaye;Creuse;FALSE;46.117899;1.628622
Bourganeuf;Creuse;FALSE;45.954005;1.756199
Boussac;Creuse;FALSE;46.348054;2.213945
Chambon%20sur%20Voueize;Creuse;FALSE;46.188803;2.426352
Clugnat;Creuse;FALSE;46.30773;2.116362
Crocq;Creuse;FALSE;45.868211;2.367235
Dun%20le%20Palestel;Creuse;FALSE;46.30531;1.663653
Gu%C3%A9ret;Creuse;FALSE;46.169599;1.871452
La%20Souterraine;Creuse;FALSE;46.239087;1.482986
Roy%C3%A8re%20de%20Vassivi%C3%A8re;Creuse;FALSE;45.841737;1.912694
Bergerac;Dordogne;FALSE;44.853806;0.483392
Boulazac;Dordogne;FALSE;45.180548;0.768949
Brantome;Dordogne;FALSE;45.365187;0.647394
Le%20Bugue;Dordogne;FALSE;44.918456;0.928396
Chateau%20l%27Ev%C3%AAque;Dordogne;FALSE;45.248559;0.685139
Coulounieix;Dordogne;FALSE;45.158036;0.688744
Chamiers;Dordogne;FALSE;45.191714;0.6899459
Excideuil;Dordogne;FALSE;45.340019;1.0489059
Eymet;Dordogne;FALSE;44.668628;0.397723
Gardonne;Dordogne;FALSE;44.836377;0.331866
Gour%20de%20l%27Arche;Dordogne;FALSE;45.1300584;1.3685517
Hautefort;Dordogne;FALSE;45.2596459;1.143
Lalinde;Dordogne;FALSE;44.838113;0.739477
Lanouaille;Dordogne;FALSE;45.392176;1.139211
Montignac;Dordogne;FALSE;45.064332;1.16138
Montpon;Dordogne;FALSE;45.00885;0.162779
Mussidan;Dordogne;FALSE;45.037085;0.364299
Neuvic;Dordogne;FALSE;45.09975;0.469484
Nontron;Dordogne;FALSE;45.530402;0.662239
Perigeux;Dordogne;FALSE;45.184029;0.7211149
Piegut;Dordogne;FALSE;45.5422483;0.6691782
Riberac;Dordogne;FALSE;45.246394;0.337651
Rouffignac;Dordogne;FALSE;45.090832;0.604146
St%20Astier;Dordogne;FALSE;45.145202;0.52778
St%20Aulaye;Dordogne;FALSE;45.204146;0.138012
St%20Martin;Dordogne;FALSE;45.555244;0.61537
Sarlat;Dordogne;FALSE;44.890891;1.217292
Terrasson;Dordogne;FALSE;45.510166;0.919383
Thenon;Dordogne;FALSE;45.138315;1.071306
Thiviers;Dordogne;FALSE;45.416858;0.922369
Trelissac;Dordogne;FALSE;45.196131;0.77911
Vergt;Dordogne;FALSE;45.026165;0.7193119
Villamblard;Dordogne;FALSE;45.022468;0.54067
tous%20sauf%20Baume%20les%20Dames%20et%20Ornans;Doubs;FALSE;47.106041;6.147005
Crest;Dr%C3%B4me;FALSE;44.7282749;5.024072
Die;Dr%C3%B4me;FALSE;44.751036;5.370536
Loriol;Dr%C3%B4me;FALSE;44.751895;4.822375
Montelimar;Dr%C3%B4me;FALSE;44.556944;4.749496
Romans%20sur%20Isere;Dr%C3%B4me;FALSE;45.044236;5.052735
St%20Jean%20en%20Royans;Dr%C3%B4me;FALSE;45.016847;5.291575
St%20Paul%20les%20Trois%20Chateaux;Dr%C3%B4me;FALSE;44.348678;4.768295
St%20Vallier;Dr%C3%B4me;FALSE;45.178291;4.815205
Tain%20l%27Hermitage;Dr%C3%B4me;FALSE;45.072641;4.847654
Valence;Dr%C3%B4me;FALSE;44.933393;4.89236
Buis;Dr%C3%B4me;FALSE;44.276186;5.27413
Dieulefit;Dr%C3%B4me;FALSE;44.526213;5.06576
medium;Eure;FALSE;49.1181763;0.9582114
%22%3E;Eure;FALSE;49.1181763;0.9582114
Les%20Andelys;Eure;TRUE;49.246568;1.4192
Bernay;Eure;TRUE;49.089328;0.597811
Conches;Eure;TRUE;48.961817;0.942638
Croth;Eure;TRUE;48.846171;1.373747
Evreux-La-Madeleine;Eure;TRUE;49.044058;1.134416
Evreux-Pannette;Eure;TRUE;49.020537;1.1466632
Gaillon;Eure;TRUE;49.160734;1.33341
Gisors;Eure;TRUE;49.279774;1.776579
Louviers;Eure;TRUE;49.2152477;1.1686123
P%C3%AEtres;Eure;TRUE;49.318629;1.226022
Quillebeuf;Eure;TRUE;49.472324;0.526424
Romilly-sur-andelle;Eure;TRUE;49.331344;1.2541791
Routot;Eure;TRUE;49.386137;0.731581
Saint-Andr%C3%A9-de-l%27Eure;Eure;TRUE;48.906396;1.273029
Saint-Marcel;Eure;TRUE;49.094615;1.454389
Verneuil-Sur-Avre;Eure;TRUE;48.740966;0.930172
Val%20de%20Reuil;Eure;TRUE;49.272602;1.217085
Verneuil;Eure;TRUE;48.740966;0.930172
Vernon;Eure;TRUE;49.091958;1.488107
Auneau;Eure-et-Loir;FALSE;48.4622839;1.773238
Bonneval;Eure-et-Loir;FALSE;48.181453;1.385289
Brou;Eure-et-Loir;FALSE;48.211341;1.166094
Chartres%20Beaulieu;Eure-et-Loir;FALSE;48.4378103;1.5074956
Chartres%20Saint%20Brice;Eure-et-Loir;FALSE;48.4377837;1.4924157
Chateaudun;Eure-et-Loir;FALSE;48.070369;1.327696
Chateauneuf%20en%20Thymerais;Eure-et-Loir;FALSE;48.581061;1.242111
Cloyes%20sur%20le%20Loir;Eure-et-Loir;FALSE;47.997216;1.233431
Courville%20sur%20Eure;Eure-et-Loir;FALSE;48.4487;1.240084
Dreux;Eure-et-Loir;FALSE;48.736134;1.370889
Janville;Eure-et-Loir;FALSE;48.205035;1.888368
La%20Loupe;Eure-et-Loir;FALSE;48.471285;1.014305
Luc%C3%A9;Eure-et-Loir;FALSE;48.439575;1.466895
Mainvilliers;Eure-et-Loir;FALSE;48.44921;1.464086
Nogent%20le%20Rotrou;Eure-et-Loir;FALSE;48.321762;0.8217759
Saint%20Lubin%20des%20Joncherets;Eure-et-Loir;FALSE;48.76764;1.194323
Saint%20Remy%20sur%20Avre;Eure-et-Loir;FALSE;48.7624939;1.238762
Senonches;Eure-et-Loir;FALSE;48.559668;1.038016
Vernouillet;Eure-et-Loir;FALSE;48.720632;1.355859
Brest;Finist%C3%A8re;FALSE;48.390394;-4.486076
Carhaix;Finist%C3%A8re;FALSE;48.2393409;-3.5989151
Chateaulin;Finist%C3%A8re;FALSE;48.195389;-4.094207
Concarneau;Finist%C3%A8re;FALSE;47.872834;-3.920734
Crozon;Finist%C3%A8re;FALSE;48.246306;-4.489568
Douarnenez;Finist%C3%A8re;FALSE;48.093228;-4.328619
Landivisiau;Finist%C3%A8re;FALSE;48.510131;-4.073265
Lannilis;Finist%C3%A8re;FALSE;48.5693709;-4.52151
Lanrivoare;Finist%C3%A8re;FALSE;48.473845;-4.638995
Lesneven-Le-Folgo%C3%ABt;Finist%C3%A8re;FALSE;48.5361292;-4.3718477
Morlaix%20Tr%C3%A9vidy;Finist%C3%A8re;FALSE;48.2520249;-3.9300525
Quimper;Finist%C3%A8re;FALSE;47.997542;-4.097899
Quimperl%C3%A9;Finist%C3%A8re;FALSE;47.872586;-3.547546
Pont%20L%27Abb%C3%A9;Finist%C3%A8re;FALSE;47.866915;-4.222298
Saint%20Pol%20de%20L%C3%A9on;Finist%C3%A8re;FALSE;48.685113;-3.986533
Ales;Gard;FALSE;44.127204;4.083352
Anduze;Gard;FALSE;44.053386;3.98651
Bagnols%20sur%20Ceze;Gard;FALSE;44.16252;4.620075
Beaucaire;Gard;FALSE;43.807235;4.644269
Besseges;Gard;FALSE;44.293661;4.09187
La%20Grand%20Combe;Gard;FALSE;44.210777;4.02994
N%C3%AEmes%20Route%20d%27Avignon;Gard;FALSE;43.8478858;4.3956911
N%C3%AEmes%20Ranquette%20Capouchin%C3%A9;Gard;FALSE;43.9446996;4.1513764
Quissac;Gard;FALSE;43.91096;3.998719
St%20Ambroix;Gard;FALSE;44.260102;4.19642
