Code U2A,Libellé U2A,Action menée,Adresse
A1,Siège,Entrepôt pour aide matérielle,98 rue Didot   75014 PARIS 14EME ARRONDISSEMENT
E0101,Entrepôt de Saint Nizier le Désert,Entrepôt pour aide matérielle,3 rue Henry Dunant   1000 BOURG EN BRESSE
E0901,Entrepôt dept. Ariège,Entrepôt pour aide matérielle,9 avenue du 11 novembre   9600 Laroque-d'Olmes
E1101,Entrepôt dept. Carcassonne,Entrepôt pour aide matérielle,18 rue de l'industrie   11800 TREBES
E1301,Entrepôt d'Aix en Provence,Entrepôt pour aide matérielle,1070 rue du Lieutenant Pareyre   13290 LES MILLES
E3001,Entrepôt de Beaucaire,Entrepôt pour aide matérielle,"16, Rue de la Placette   30300 Beaucaire"
E3002,Entrepôt de Nimes,Entrepôt pour aide matérielle,2160 chemin de Bachas   30000 NIMES
E5601,A DEFINIR,Centre de Distribution Alimentaire,  6-8 rue François Robin 56100 LORIENT
E5602,Entrepôt du Morbihan,Entrepôt pour aide matérielle,6-8 rue François Robin   56100 LORIENT
E5901,Entrepôt de Lomme,Entrepôt pour aide matérielle,60 rue Destombes .  59160 LOMME
E6201,Entrepôt de Saint Omer,Entrepôt pour aide matérielle,Entrepôt Gillias   62500 Saint Omer
E6202,Entrepôt de Lens,Entrepôt pour aide matérielle,  176 avenue Van Pelt 62300 Lens
E7001,Entrepôt des alliés Vesoul,Entrepôt pour aide matérielle,78 bd des Alliés   70000 Vesoul
E7301,Entrepôt dept. Savoie,Entrepôt pour aide matérielle,4 rue Alice Eynard   73100 Aix-les-Bains
E7701,Entrepôt de Limoges Fourches,Entrepôt pour aide matérielle,Rue de Bougainville prolongée   77550 Limoges Fourches
E7702,Entrepôt de Mareuil les Meaux,Entrepôt pour aide matérielle,Village d'Entreprises de Mareuil 832 avenue du Général de Gaulle Bloc 836 77100 MAREUIL LES MEAUX
E7801,A DEFINIR,Centre de Distribution Alimentaire,9 rue du général Exelmans   78140 VELIZY VILLACOUBLAY
E7802,Entrepôt de Velizy,Entrepôt pour aide matérielle,9 rue du Général Exelmans   78140 VELIZY VILLACOUBLAY
E8201,Entrepôt Montauban,Entrepôt pour aide matérielle,830 Bd Blaise Doumerc   82000 MONTAUBAN
E8202,Entrepôt de Moissac,Entrepôt pour aide matérielle,  8 Rue Daubasse 82200 Moissac
E8801,Entrepôt dept. des Vosges,Entrepôt pour aide matérielle,115 rue Neuve Grange Saint-Laurent  88000 EPINAL
E9001,Entrepôt de Belfort,Entrepôt pour aide matérielle,15 Av sarail   90000 BELFORT
E9403,Entrepôt de Limeil Brevannes,Entrepôt pour aide matérielle,  2 RUE ALBERT GARRY 94450 LIMEIL BREVANNES
E9501,Entrepôt dept. Val d'Oise,Entrepôt pour aide matérielle,"1 BIS, Rue HENRI DUNANT   95460 EZANVILLE"
U01,DD de l'Ain,Distribution de chèques,3 rue Henri Dunant   1000 BOURG EN BRESSE
U0101,Centre distribution de Belley,Centre de Distribution Alimentaire,    
U0102,Centre distribution Villars les Dombes,Centre de Distribution Alimentaire,"35, Rue PAUL DUPERRIER   1330 Villars les Dombes"
