cd_u2a,dist_poids,stock_poids,consoRate,CD_U2A,coord.lat,coord.lng
E0901,0.0,478333.21032714844,1.0,E0901,42.9620132,1.6122866000000002
E5901,0.0,712.2680053710938,1.0,E5901,50.646417299999996,2.9853856
E7001,0.0,264767.6043701172,1.0,E7001,47.6177052,6.1625428
E8201,0.0,466432.37060546875,1.0,E8201,44.022125200000005,1.3529598999999999
E8801,0.0,199387.3338623047,1.0,E8801,48.0,7.0
E9001,0.0,23328.0,1.0,E9001,47.639674,6.863849
U0101,8879.083092689514,9164.43997836113,0.031137405705683477,U0101,45.76096,5.686346
U0102,6076.485978841782,8179.654990956187,0.25712197084593036,U0102,46.002114,5.029107
U0103,6692.420024871826,6711.420001983643,0.002830992115856366,U0103,46.337407,5.130528
U0104,10716.293003797531,10929.612028542906,0.019517529459260576,U0104,46.118907,4.957955
U0105,15414.84113221988,18042.015032449737,0.1456142174532453,U0105,45.9769859,5.6017849
U0106,590.0530021190643,471.4600012600422,-0.2515441406313704,U0106,46.107599,5.826179
U0107,6336.093976259232,8730.459998607635,0.27425428015594433,U0107,46.079318,4.759725
U0109,9431.106995344162,10222.856008797884,0.07744890593903851,U0109,45.847620899999995,5.781229
U0110,7433.2170196175575,7946.28101317212,0.06456655543695018,U0110,46.17174,4.801003
U0111,0.0,426.8399952054024,1.0,U0111,45.848538,5.6515629999999994
U0112,15103.010035037994,16277.752975434065,0.07216861824657003,U0112,46.219615000000005,4.99247
U0114,9608.72802245617,12031.624980926514,0.2013773669235297,U0114,45.940940000000005,4.774296
U0115,3783.3490082621574,5396.224991559982,0.29888968414409317,U0115,46.430278,4.938149
U0116,1435.775001525879,1786.1399974822998,0.19615763403220746,U0116,46.316047,4.9464119
U0118,4260.523021221161,5478.541982436553,0.22232538604617652,U0118,46.254496200000006,6.0679661
U0119,12937.70306968689,13598.600032806396,0.04860036779706028,U0119,46.2051675,5.2255007
U0120,1318.342994093895,2619.0610137805343,0.4966352493671359,U0120,46.001183000000005,4.848664
U0121,8906.268984079361,10680.552996210754,0.1661228601890626,U0121,45.903996,5.3486269
U0122,10193.039975516498,12705.390015438199,0.19773891528469162,U0122,45.9071984,5.1949736
U0123,1217.3950064182281,3729.502006523311,0.6735770608813537,U0123,45.824508,4.954543
U0201,13151.703006744385,15205.138994053006,0.13504881396426274,U0201,49.255061,3.0908159
U0202,83582.99839049578,85776.82685756683,0.025576004002968396,U0202,49.847066,3.2874
U0203,109310.72457742691,132493.15894373134,0.17497080265215656,U0203,49.0459869,3.4026199999999998
U0205,42415.133993148804,46297.70993195474,0.08386107961953813,U0205,49.615576000000004,3.219421
U0206,105729.21006011963,122297.89674699306,0.13547810001303895,U0206,49.564133,3.6198900000000003
U0207,40958.27425751835,122003.2050337065,0.6642852599962223,U0207,49.376636,3.3234199999999996
U0208,23810.30201855302,28128.732029154897,0.15352380640996927,U0208,49.656252,3.291635
U0210,5617.4799880981445,7830.5100173950195,0.28261633333981545,U0210,49.834435,3.907087
U0301,597.9949951171875,1819.2149953842163,0.6712895415690593,U0301,46.131859000000006,3.4254879999999996
U0302,2562.3479747772217,3820.7999945282936,0.3293687242340036,U0302,46.568059000000005,3.3344169999999997
U0401,14913.68505358696,18370.702009260654,0.1881809935151643,U0401,44.092193,6.235976
U0402,9428.964028455317,10562.160020112991,0.10728828094819488,U0402,43.835744,5.790916
U0403,3837.9789913892746,5368.344997860491,0.2850722163126869,U0403,44.194713,5.943191000000001
U0404,229.24000024795532,992.2199985980988,0.7689625278951774,U0404,43.794526899999994,6.4429273
U0501,102.98000010848045,1105.5170028209686,0.906849012863932,U0501,44.232081799999996,5.8553242
U0502,1.0,10.0,0.9,U0502,44.540797999999995,5.825865
U0503,11164.998040795326,12361.40700930357,0.09678582442983957,U0503,44.559638,6.079758
U0504,1805.360003232956,1773.480001449585,-0.01797595786663131,U0504,44.6610919,6.6493649999999995
U0505,2327.733997821808,4091.4849924743176,0.43107844655343214,U0505,44.564164,6.495865
U0506,276.75999957323074,643.9729989618063,0.5702304288853496,U0506,44.899415999999995,6.643178999999999
U0507,4942.1329889297485,6205.874995604157,0.2036363941538562,U0507,44.559638,6.079758
U0601,4734.184007227421,6680.104000706226,0.2913008529916721,U0601,43.7223216,7.111703299999999
